INDICADORS SOCIOECONÒMICS 2019,BARRI,DISTRICTE,BARCELONA
Població,39.262,241.691,1.666.530
Superfície (km2),"0,7","10,4","101,4"
Densitat (hab/km2),53.011,23.270,16.443
Població per sexe,,,
Dones,20.894,125.269,874.423
Homes,18.368,116.422,792.107
Població per edat (en %),,,
0-14,"10,8","13,1","12,3"
15-24,"8,2","9,1","9,4"
25-64,"58,0","57,4","57,2"
65 i mes,"23,0","20,4","21,1"
Població per lloc de naixement (en %),,,
Barcelona,"49,5","50,2","49,3"
Resta Catalunya,"7,3","6,8","7,2"
Resta Espanya,"15,4","17,3","15,7"
Estranger,"27,8","25,8","27,8"
Població per nacionalitat (en %),,,
Espanyols,"79,3","79,6","78,3"
Estrangers,"20,7","20,4","21,7"
Principals nacionalitats estrangeres,,,
"",Itàlia,Itàlia,Itàlia
"",1.035,5.674,39.863
"",Xina,Xina,Pakistan
"",761,4.476,22.749
"",Veneçuela,Pakistan,Xina
"",427,4.181,22.477
% Titulats superiors i CFGS (1),"32,8","28,4","33,4"
Taxa natalitat / 1.000 hab.,"6,3","7,7","7,7"
Població de més de 65 anys que viu sola (%) (2),"26,1","24,3","25,7"
Índex de sobreenvelliment  (3),"50,6","51,8","53,4"
Turismes (persones físiques) / 1.000 hab (4),"257,2","271,6","263,5"
Motos (persones físiques) / 1.000 hab (4),"109,2","97,1","119,8"
Ciclomotors (persones físiques) / 1.000 hab (4),"23,7","21,8","25,0"
Nombre d'aturats registrats (5),1.710,10.862,69.047
Renda familiar disponible per habitant (2017),"81,7","88,1","100,0"
Índex Barcelona=100,,,
