INDICADORS SOCIOECONÒMICS 2019,BARRI,DISTRICTE,BARCELONA
Població,24.938,187.584,1.666.530
Superfície (km2),"0,4","22,7","101,4"
Densitat (hab/km2),60.151,8.272,16.443
Població per sexe,,,
Dones,13.270,97.469,874.423
Homes,11.668,90.115,792.107
Població per edat (en %),,,
0-14,"10,9","11,4","12,3"
15-24,"8,9","9,1","9,4"
25-64,"58,2","59,6","57,2"
65 i mes,"22,0","19,9","21,1"
Població per lloc de naixement (en %),,,
Barcelona,"44,9","46,1","49,3"
Resta Catalunya,"8,8","7,1","7,2"
Resta Espanya,"17,7","15,9","15,7"
Estranger,"28,6","30,9","27,8"
Població per nacionalitat (en %),,,
Espanyols,"79,1","76,2","78,3"
Estrangers,"20,9","23,8","21,7"
Principals nacionalitats estrangeres,,,
"",Xina,Itàlia,Itàlia
"",436,4.524,39.863
"",Itàlia,Pakistan,Pakistan
"",395,3.348,22.749
"",Colòmbia,Xina,Xina
"",356,3.137,22.477
% Titulats superiors i CFGS (1),"28,2","28,2","33,4"
Taxa natalitat / 1.000 hab.,"8,6","8,0","7,7"
Població de més de 65 anys que viu sola (%) (2),"23,7","25,7","25,7"
Índex de sobreenvelliment  (3),"49,3","52,2","53,4"
Turismes (persones físiques) / 1.000 hab (4),"252,6","242,4","263,5"
Motos (persones físiques) / 1.000 hab (4),"100,0","102,1","119,8"
Ciclomotors (persones físiques) / 1.000 hab (4),"24,9","25,9","25,0"
Nombre d'aturats registrats (5),845,8.162,69.047
Renda familiar disponible per habitant (2017),"81,0","84,6","100,0"
Índex Barcelona=100,,,
