INDICADORS SOCIOECONÒMICS 2019,BARRI,DISTRICTE,BARCELONA
Població,52.245,270.694,1.666.530
Superfície (km2),"1,0","7,5","101,4"
Densitat (hab/km2),50.147,36.265,16.443
Població per sexe,,,
Dones,28.225,144.056,874.423
Homes,24.020,126.638,792.107
Població per edat (en %),,,
0-14,"10,1","10,5","12,3"
15-24,"8,6","8,8","9,4"
25-64,"59,0","58,8","57,2"
65 i mes,"22,2","21,9","21,1"
Població per lloc de naixement (en %),,,
Barcelona,"47,0","47,1","49,3"
Resta Catalunya,"7,5","8,4","7,2"
Resta Espanya,"14,9","13,9","15,7"
Estranger,"30,5","30,7","27,8"
Població per nacionalitat (en %),,,
Espanyols,"76,4","75,6","78,3"
Estrangers,"23,6","24,4","21,7"
Principals nacionalitats estrangeres,,,
"",Itàlia,Itàlia,Itàlia
"",1.797,9.559,39.863
"",Xina,Xina,Pakistan
"",1.237,6.119,22.749
"",Veneçuela,França,Xina
"",716,4.258,22.477
% Titulats superiors i CFGS (1),"39,5","44,5","33,4"
Taxa natalitat / 1.000 hab.,"7,0","7,2","7,7"
Població de més de 65 anys que viu sola (%) (2),"27,5","27,4","25,7"
Índex de sobreenvelliment  (3),"53,5","53,5","53,4"
Turismes (persones físiques) / 1.000 hab (4),"244,5","245,4","263,5"
Motos (persones físiques) / 1.000 hab (4),"114,3","126,7","119,8"
Ciclomotors (persones físiques) / 1.000 hab (4),"24,6","24,2","25,0"
Nombre d'aturats registrats (5),1.917,9.326,69.047
Renda familiar disponible per habitant (2017),"101,8","122,4","100,0"
Índex Barcelona=100,,,
