INDICADORS SOCIOECONÒMICS 2019,BARRI,DISTRICTE,BARCELONA
Població,29.521,151.976,1.666.530
Superfície (km2),"1,0","6,6","101,4"
Densitat (hab/km2),29.931,23.065,16.443
Població per sexe,,,
Dones,15.705,79.738,874.423
Homes,13.816,72.238,792.107
Població per edat (en %),,,
0-14,"12,0","13,2","12,3"
15-24,"8,4","9,1","9,4"
25-64,"55,2","56,0","57,2"
65 i mes,"24,4","21,7","21,1"
Població per lloc de naixement (en %),,,
Barcelona,"49,7","53,9","49,3"
Resta Catalunya,"6,4","6,9","7,2"
Resta Espanya,"20,3","17,7","15,7"
Estranger,"23,7","21,5","27,8"
Població per nacionalitat (en %),,,
Espanyols,"84,5","84,8","78,3"
Estrangers,"15,5","15,2","21,7"
Principals nacionalitats estrangeres,,,
"",Xina,Xina,Itàlia
"",575,2.129,39.863
"",Perú,Pakistan,Pakistan
"",415,1.710,22.749
"",Itàlia,Itàlia,Xina
"",389,1.675,22.477
% Titulats superiors i CFGS (1),"26,0","24,4","33,4"
Taxa natalitat / 1.000 hab.,"7,6","7,8","7,7"
Població de més de 65 anys que viu sola (%) (2),"22,3","24,0","25,7"
Índex de sobreenvelliment  (3),"47,7","50,2","53,4"
Turismes (persones físiques) / 1.000 hab (4),"279,0","280,2","263,5"
Motos (persones físiques) / 1.000 hab (4),"93,9","93,8","119,8"
Ciclomotors (persones físiques) / 1.000 hab (4),"21,7","20,7","25,0"
Nombre d'aturats registrats (5),1.170,6.828,69.047
Renda familiar disponible per habitant (2017),"77,1","74,6","100,0"
Índex Barcelona=100,,,
