INDICADORS SOCIOECONÒMICS 2019,BARRI DISTRICTE,,BARCELONA
Població,47.915 151.157,,1.666.530
Superfície (km2),"1,7 19,9",,"101,4"
Densitat (hab/km2),28.705 7.590,,16.443
Població per sexe,,,
Dones,26.358 81.679,,874.423
Homes,21.557 69.478,,792.107
Població per edat (en %),,,
0-14,"14,3 15,4",,"12,3"
15-24,"11,7 11,6",,"9,4"
25-64,"51,9 51,5",,"57,2"
65 i mes,"22,1 21,5",,"21,1"
Població per lloc de naixement (en %),,,
Barcelona,"61,8 62,0",,"49,3"
Resta Catalunya,"8,6 8,7",,"7,2"
Resta Espanya,"10,3 10,2",,"15,7"
Estranger,"19,4 19,1",,"27,8"
Població per nacionalitat (en %),,,
Espanyols,"85,9 85,8",,"78,3"
Estrangers,"14,1 14,2",,"21,7"
Principals nacionalitats estrangeres,,,
"",Itàlia Itàlia,,Itàlia
"",957 2.947,,39.863
"",França França,,Pakistan
"",653 2.363,,22.749
"","Estats Units, eElstats Units, els",,Xina
"",383 975,,22.477
% Titulats superiors i CFGS (1),"53,3 52,2",,"33,4"
Taxa natalitat / 1.000 hab.,"8,6 8,2",,"7,7"
Població de més de 65 anys que viu sola (%) (2),"27,4 25,0",,"25,7"
Índex de sobreenvelliment  (3),"56,7 55,2",,"53,4"
Turismes (persones físiques) / 1.000 hab (4),"347,3 343,8",,"263,5"
Motos (persones físiques) / 1.000 hab (4),"224,8 220,1",,"119,8"
Ciclomotors (persones físiques) / 1.000 hab (4),"28,7 28,6",,"25,0"
Nombre d'aturats registrats (5),1.049 3.480,,69.047
Renda familiar disponible per habitant (2017),"192,1 182,8",,"100,0"
Índex Barcelona=100,,,
