INDICADORS SOCIOECONÒMICS 2019,BARRI,DISTRICTE,BARCELONA
Població,38.906,270.694,1.666.530
Superfície (km2),"0,8","7,5","101,4"
Densitat (hab/km2),48.384,36.265,16.443
Població per sexe,,,
Dones,20.412,144.056,874.423
Homes,18.494,126.638,792.107
Població per edat (en %),,,
0-14,"10,2","10,5","12,3"
15-24,"8,4","8,8","9,4"
25-64,"59,4","58,8","57,2"
65 i mes,"22,0","21,9","21,1"
Població per lloc de naixement (en %),,,
Barcelona,"46,5","47,1","49,3"
Resta Catalunya,"7,7","8,4","7,2"
Resta Espanya,"13,9","13,9","15,7"
Estranger,"31,8","30,7","27,8"
Població per nacionalitat (en %),,,
Espanyols,"75,0","75,6","78,3"
Estrangers,"25,0","24,4","21,7"
Principals nacionalitats estrangeres,,,
"",Itàlia,Itàlia,Itàlia
"",1.324,9.559,39.863
"",Xina,Xina,Pakistan
"",875,6.119,22.749
"",Filipines,França,Xina
"",784,4.258,22.477
% Titulats superiors i CFGS (1),"38,9","44,5","33,4"
Taxa natalitat / 1.000 hab.,"7,6","7,2","7,7"
Població de més de 65 anys que viu sola (%) (2),"28,5","27,4","25,7"
Índex de sobreenvelliment  (3),"56,4","53,5","53,4"
Turismes (persones físiques) / 1.000 hab (4),"224,0","245,4","263,5"
Motos (persones físiques) / 1.000 hab (4),"110,9","126,7","119,8"
Ciclomotors (persones físiques) / 1.000 hab (4),"23,0","24,2","25,0"
Nombre d'aturats registrats (5),1.535,9.326,69.047
Renda familiar disponible per habitant (2017),"104,2","122,4","100,0"
Índex Barcelona=100,,,
