INDICADORS SOCIOECONÒMICS 2019,BARRI,DISTRICTE,BARCELONA
Població,12.798,174.012,1.666.530
Superfície (km2),"0,2","8,1","101,4"
Densitat (hab/km2),53.973,21.614,16.443
Població per sexe,,,
Dones,6.832,92.318,874.423
Homes,5.966,81.694,792.107
Població per edat (en %),,,
0-14,"13,2","13,1","12,3"
15-24,"9,9","9,8","9,4"
25-64,"56,0","54,7","57,2"
65 i mes,"20,9","22,3","21,1"
Població per lloc de naixement (en %),,,
Barcelona,"43,5","46,4","49,3"
Resta Catalunya,"4,0","4,8","7,2"
Resta Espanya,"21,6","20,9","15,7"
Estranger,"30,9","27,8","27,8"
Població per nacionalitat (en %),,,
Espanyols,"76,8","79,7","78,3"
Estrangers,"23,2","20,3","21,7"
Principals nacionalitats estrangeres,,,
"",Hondures,Hondures,Itàlia
"",621,5.548,39.863
"",Xina,Pakistan,Pakistan
"",172,2.517,22.749
"","Marroc, el","Marroc, el",Xina
"",155,2.123,22.477
% Titulats superiors i CFGS (1),"12,9","15,5","33,4"
Taxa natalitat / 1.000 hab.,"7,7","7,9","7,7"
Població de més de 65 anys que viu sola (%) (2),"28,2","25,7","25,7"
Índex de sobreenvelliment  (3),"58,0","56,5","53,4"
Turismes (persones físiques) / 1.000 hab (4),"244,2","259,4","263,5"
Motos (persones físiques) / 1.000 hab (4),"73,1","79,8","119,8"
Ciclomotors (persones físiques) / 1.000 hab (4),"22,7","22,7","25,0"
Nombre d'aturats registrats (5),695,9.297,69.047
Renda familiar disponible per habitant (2017),"51,3","55,0","100,0"
Índex Barcelona=100,,,
