INDICADORS SOCIOECONÒMICS 2019,BARRI,DISTRICTE,BARCELONA
Població,16.203,187.584,1.666.530
Superfície (km2),"0,4","22,7","101,4"
Densitat (hab/km2),39.527,8.272,16.443
Població per sexe,,,
Dones,8.467,97.469,874.423
Homes,7.736,90.115,792.107
Població per edat (en %),,,
0-14,"11,0","11,4","12,3"
15-24,"8,3","9,1","9,4"
25-64,"61,5","59,6","57,2"
65 i mes,"19,2","19,9","21,1"
Població per lloc de naixement (en %),,,
Barcelona,"44,4","46,1","49,3"
Resta Catalunya,"7,4","7,1","7,2"
Resta Espanya,"15,7","15,9","15,7"
Estranger,"32,4","30,9","27,8"
Població per nacionalitat (en %),,,
Espanyols,"74,1","76,2","78,3"
Estrangers,"25,9","23,8","21,7"
Principals nacionalitats estrangeres,,,
"",Itàlia,Itàlia,Itàlia
"",509,4.524,39.863
"",Pakistan,Pakistan,Pakistan
"",316,3.348,22.749
"",Xina,Xina,Xina
"",308,3.137,22.477
% Titulats superiors i CFGS (1),"33,6","28,2","33,4"
Taxa natalitat / 1.000 hab.,"7,5","8,0","7,7"
Població de més de 65 anys que viu sola (%) (2),"24,7","25,7","25,7"
Índex de sobreenvelliment  (3),"48,9","52,2","53,4"
Turismes (persones físiques) / 1.000 hab (4),"238,0","242,4","263,5"
Motos (persones físiques) / 1.000 hab (4),"95,9","102,1","119,8"
Ciclomotors (persones físiques) / 1.000 hab (4),"24,6","25,9","25,0"
Nombre d'aturats registrats (5),684,8.162,69.047
Renda familiar disponible per habitant (2017),"99,0","84,6","100,0"
Índex Barcelona=100,,,
