INDICADORS SOCIOECONÒMICS 2019,BARRI,DISTRICTE,BARCELONA
Població,28.363,174.799,1.666.530
Superfície (km2),"3,1","11,9","101,4"
Densitat (hab/km2),9.239,14.665,16.443
Població per sexe,,,
Dones,15.116,92.732,874.423
Homes,13.247,82.067,792.107
Població per edat (en %),,,
0-14,"12,5","12,1","12,3"
15-24,"9,5","9,2","9,4"
25-64,"54,2","55,5","57,2"
65 i mes,"23,9","23,2","21,1"
Població per lloc de naixement (en %),,,
Barcelona,"54,3","51,9","49,3"
Resta Catalunya,"6,0","6,1","7,2"
Resta Espanya,"18,8","19,1","15,7"
Estranger,"21,0","22,9","27,8"
Població per nacionalitat (en %),,,
Espanyols,"83,7","83,4","78,3"
Estrangers,"16,3","16,6","21,7"
Principals nacionalitats estrangeres,,,
"",Hondures,Itàlia,Itàlia
"",551,2.687,39.863
"",Colòmbia,Hondures,Pakistan
"",347,2.065,22.749
"","Marroc, el",Colòmbia,Xina
"",275,1.893,22.477
% Titulats superiors i CFGS (1),"24,5","26,4","33,4"
Taxa natalitat / 1.000 hab.,"7,3","7,3","7,7"
Població de més de 65 anys que viu sola (%) (2),"23,0","24,4","25,7"
Índex de sobreenvelliment  (3),"57,0","55,8","53,4"
Turismes (persones físiques) / 1.000 hab (4),"276,3","277,6","263,5"
Motos (persones físiques) / 1.000 hab (4),"120,7","128,3","119,8"
Ciclomotors (persones físiques) / 1.000 hab (4),"23,2","28,9","25,0"
Nombre d'aturats registrats (5),1.315,7.454,69.047
Renda familiar disponible per habitant (2017),"79,8","78,0","100,0"
Índex Barcelona=100,,,
