INDICADORS SOCIOECONÒMICS 2019,BARRI,DISTRICTE,BARCELONA
Població,5.225,174.799,1.666.530
Superfície (km2),"2,1","11,9","101,4"
Densitat (hab/km2),2.542,14.665,16.443
Població per sexe,,,
Dones,2.872,92.732,874.423
Homes,2.353,82.067,792.107
Població per edat (en %),,,
0-14,"11,1","12,1","12,3"
15-24,"9,2","9,2","9,4"
25-64,"53,3","55,5","57,2"
65 i mes,"26,4","23,2","21,1"
Població per lloc de naixement (en %),,,
Barcelona,"52,9","51,9","49,3"
Resta Catalunya,"6,9","6,1","7,2"
Resta Espanya,"18,5","19,1","15,7"
Estranger,"21,7","22,9","27,8"
Població per nacionalitat (en %),,,
Espanyols,"84,6","83,4","78,3"
Estrangers,"15,4","16,6","21,7"
Principals nacionalitats estrangeres,,,
"",Itàlia,Itàlia,Itàlia
"",94,2.687,39.863
"",Veneçuela,Hondures,Pakistan
"",69,2.065,22.749
"",Colòmbia,Colòmbia,Xina
"",60,1.893,22.477
% Titulats superiors i CFGS (1),"27,9","26,4","33,4"
Taxa natalitat / 1.000 hab.,"8,4","7,3","7,7"
Població de més de 65 anys que viu sola (%) (2),"27,2","24,4","25,7"
Índex de sobreenvelliment  (3),"73,4","55,8","53,4"
Turismes (persones físiques) / 1.000 hab (4),"301,2","277,6","263,5"
Motos (persones físiques) / 1.000 hab (4),"101,2","128,3","119,8"
Ciclomotors (persones físiques) / 1.000 hab (4),"18,0","28,9","25,0"
Nombre d'aturats registrats (5),215,7.454,69.047
Renda familiar disponible per habitant (2017),"79,8","78,0","100,0"
Índex Barcelona=100,,,
