INDICADORS SOCIOECONÒMICS 2019,BARRI,DISTRICTE,BARCELONA
Població,33.369,270.694,1.666.530
Superfície (km2),"0,9","7,5","101,4"
Densitat (hab/km2),35.906,36.265,16.443
Població per sexe,,,
Dones,17.455,144.056,874.423
Homes,15.914,126.638,792.107
Població per edat (en %),,,
0-14,"11,0","10,5","12,3"
15-24,"9,2","8,8","9,4"
25-64,"59,0","58,8","57,2"
65 i mes,"20,8","21,9","21,1"
Població per lloc de naixement (en %),,,
Barcelona,"45,3","47,1","49,3"
Resta Catalunya,"7,5","8,4","7,2"
Resta Espanya,"14,5","13,9","15,7"
Estranger,"32,7","30,7","27,8"
Població per nacionalitat (en %),,,
Espanyols,"72,6","75,6","78,3"
Estrangers,"27,4","24,4","21,7"
Principals nacionalitats estrangeres,,,
"",Xina,Itàlia,Itàlia
"",1.326,9.559,39.863
"",Itàlia,Xina,Pakistan
"",1.323,6.119,22.749
"",França,França,Xina
"",592,4.258,22.477
% Titulats superiors i CFGS (1),"40,4","44,5","33,4"
Taxa natalitat / 1.000 hab.,"6,3","7,2","7,7"
Població de més de 65 anys que viu sola (%) (2),"25,3","27,4","25,7"
Índex de sobreenvelliment  (3),"52,3","53,5","53,4"
Turismes (persones físiques) / 1.000 hab (4),"240,0","245,4","263,5"
Motos (persones físiques) / 1.000 hab (4),"114,1","126,7","119,8"
Ciclomotors (persones físiques) / 1.000 hab (4),"22,9","24,2","25,0"
Nombre d'aturats registrats (5),1.156,9.326,69.047
Renda familiar disponible per habitant (2017),"106,5","122,4","100,0"
Índex Barcelona=100,,,
