INDICADORS SOCIOECONÒMICS 2019,BARRI,DISTRICTE,BARCELONA
Població,16.147,123.651,1.666.530
Superfície (km2),"1,3","4,2","101,4"
Densitat (hab/km2),12.908,29.272,16.443
Població per sexe,,,
Dones,8.591,66.826,874.423
Homes,7.556,56.825,792.107
Població per edat (en %),,,
0-14,"13,4","11,8","12,3"
15-24,"9,1","8,4","9,4"
25-64,"54,9","58,3","57,2"
65 i mes,"22,6","21,5","21,1"
Població per lloc de naixement (en %),,,
Barcelona,"55,6","52,6","49,3"
Resta Catalunya,"8,1","8,7","7,2"
Resta Espanya,"14,3","13,8","15,7"
Estranger,"22,0","24,9","27,8"
Població per nacionalitat (en %),,,
Espanyols,"83,6","80,3","78,3"
Estrangers,"16,4","19,7","21,7"
Principals nacionalitats estrangeres,,,
"",Itàlia,Itàlia,Itàlia
"",383,4.065,39.863
"",França,França,Pakistan
"",145,1.904,22.749
"",Veneçuela,Regne Unit,Xina
"",137,1.003,22.477
% Titulats superiors i CFGS (1),"42,0","43,9","33,4"
Taxa natalitat / 1.000 hab.,"6,8","8,0","7,7"
Població de més de 65 anys que viu sola (%) (2),"25,8","28,0","25,7"
Índex de sobreenvelliment  (3),"54,1","53,1","53,4"
Turismes (persones físiques) / 1.000 hab (4),"314,5","252,7","263,5"
Motos (persones físiques) / 1.000 hab (4),"170,1","143,5","119,8"
Ciclomotors (persones físiques) / 1.000 hab (4),"30,6","28,9","25,0"
Nombre d'aturats registrats (5),615,4.617,69.047
Renda familiar disponible per habitant (2017),"112,5","105,3","100,0"
Índex Barcelona=100,,,
