INDICADORS SOCIOECONÒMICS 2019,BARRI,DISTRICTE,BARCELONA
Població,58.508,151.976,1.666.530
Superfície (km2),"1,9","6,6","101,4"
Densitat (hab/km2),31.331,23.065,16.443
Població per sexe,,,
Dones,30.894,79.738,874.423
Homes,27.614,72.238,792.107
Població per edat (en %),,,
0-14,"13,2","13,2","12,3"
15-24,"8,6","9,1","9,4"
25-64,"55,9","56,0","57,2"
65 i mes,"22,3","21,7","21,1"
Població per lloc de naixement (en %),,,
Barcelona,"59,3","53,9","49,3"
Resta Catalunya,"7,6","6,9","7,2"
Resta Espanya,"18,8","17,7","15,7"
Estranger,"14,3","21,5","27,8"
Població per nacionalitat (en %),,,
Espanyols,"90,3","84,8","78,3"
Estrangers,"9,7","15,2","21,7"
Principals nacionalitats estrangeres,,,
"",Itàlia,Xina,Itàlia
"",517,2.129,39.863
"",Xina,Pakistan,Pakistan
"",469,1.710,22.749
"",Perú,Itàlia,Xina
"",338,1.675,22.477
% Titulats superiors i CFGS (1),"26,8","24,4","33,4"
Taxa natalitat / 1.000 hab.,"6,9","7,8","7,7"
Població de més de 65 anys que viu sola (%) (2),"23,1","24,0","25,7"
Índex de sobreenvelliment  (3),"47,4","50,2","53,4"
Turismes (persones físiques) / 1.000 hab (4),"298,9","280,2","263,5"
Motos (persones físiques) / 1.000 hab (4),"101,5","93,8","119,8"
Ciclomotors (persones físiques) / 1.000 hab (4),"19,0","20,7","25,0"
Nombre d'aturats registrats (5),2.620,6.828,69.047
Renda familiar disponible per habitant (2017),"77,7","74,6","100,0"
Índex Barcelona=100,,,
