INDICADORS SOCIOECONÒMICS 2019,BARRI,DISTRICTE,BARCELONA
Població,43.763,187.584,1.666.530
Superfície (km2),"1,1","22,7","101,4"
Densitat (hab/km2),39.979,8.272,16.443
Població per sexe,,,
Dones,22.667,97.469,874.423
Homes,21.096,90.115,792.107
Població per edat (en %),,,
0-14,"11,3","11,4","12,3"
15-24,"8,9","9,1","9,4"
25-64,"59,7","59,6","57,2"
65 i mes,"20,1","19,9","21,1"
Població per lloc de naixement (en %),,,
Barcelona,"47,9","46,1","49,3"
Resta Catalunya,"8,4","7,1","7,2"
Resta Espanya,"14,2","15,9","15,7"
Estranger,"29,5","30,9","27,8"
Població per nacionalitat (en %),,,
Espanyols,"76,4","76,2","78,3"
Estrangers,"23,6","23,8","21,7"
Principals nacionalitats estrangeres,,,
"",Itàlia,Itàlia,Itàlia
"",919,4.524,39.863
"",Pakistan,Pakistan,Pakistan
"",812,3.348,22.749
"","Marroc, el",Xina,Xina
"",797,3.137,22.477
% Titulats superiors i CFGS (1),"33,5","28,2","33,4"
Taxa natalitat / 1.000 hab.,"8,7","8,0","7,7"
Població de més de 65 anys que viu sola (%) (2),"26,9","25,7","25,7"
Índex de sobreenvelliment  (3),"53,4","52,2","53,4"
Turismes (persones físiques) / 1.000 hab (4),"230,8","242,4","263,5"
Motos (persones físiques) / 1.000 hab (4),"102,6","102,1","119,8"
Ciclomotors (persones físiques) / 1.000 hab (4),"25,2","25,9","25,0"
Nombre d'aturats registrats (5),1.629,8.162,69.047
Renda familiar disponible per habitant (2017),"99,0","84,6","100,0"
Índex Barcelona=100,,,
