INDICADORS SOCIOECONÒMICS 2019,BARRI,DISTRICTE,BARCELONA
Població,7.617,123.651,1.666.530
Superfície (km2),"0,4","4,2","101,4"
Densitat (hab/km2),21.564,29.272,16.443
Població per sexe,,,
Dones,4.063,66.826,874.423
Homes,3.554,56.825,792.107
Població per edat (en %),,,
0-14,"12,5","11,8","12,3"
15-24,"8,8","8,4","9,4"
25-64,"58,1","58,3","57,2"
65 i mes,"20,5","21,5","21,1"
Població per lloc de naixement (en %),,,
Barcelona,"52,1","52,6","49,3"
Resta Catalunya,"6,3","8,7","7,2"
Resta Espanya,"17,2","13,8","15,7"
Estranger,"24,4","24,9","27,8"
Població per nacionalitat (en %),,,
Espanyols,"81,9","80,3","78,3"
Estrangers,"18,1","19,7","21,7"
Principals nacionalitats estrangeres,,,
"",Itàlia,Itàlia,Itàlia
"",169,4.065,39.863
"",Hondures,França,Pakistan
"",98,1.904,22.749
"",Veneçuela,Regne Unit,Xina
"",95,1.003,22.477
% Titulats superiors i CFGS (1),"32,3","43,9","33,4"
Taxa natalitat / 1.000 hab.,"6,6","8,0","7,7"
Població de més de 65 anys que viu sola (%) (2),"26,3","28,0","25,7"
Índex de sobreenvelliment  (3),"51,7","53,1","53,4"
Turismes (persones físiques) / 1.000 hab (4),"266,4","252,7","263,5"
Motos (persones físiques) / 1.000 hab (4),"161,7","143,5","119,8"
Ciclomotors (persones físiques) / 1.000 hab (4),"35,1","28,9","25,0"
Nombre d'aturats registrats (5),259,4.617,69.047
Renda familiar disponible per habitant (2017),"87,0","105,3","100,0"
Índex Barcelona=100,,,
