INDICADORS SOCIOECONÒMICS 2019,BARRI DISTRICTE,,BARCELONA
Població,16.617 151.157,,1.666.530
Superfície (km2),"0,8 19,9",,"101,4"
Densitat (hab/km2),21.089 7.590,,16.443
Població per sexe,,,
Dones,8.841 81.679,,874.423
Homes,7.776 69.478,,792.107
Població per edat (en %),,,
0-14,"16,9 15,4",,"12,3"
15-24,"12,9 11,6",,"9,4"
25-64,"48,7 51,5",,"57,2"
65 i mes,"21,5 21,5",,"21,1"
Població per lloc de naixement (en %),,,
Barcelona,"65,5 62,0",,"49,3"
Resta Catalunya,"8,9 8,7",,"7,2"
Resta Espanya,"10,8 10,2",,"15,7"
Estranger,"14,8 19,1",,"27,8"
Població per nacionalitat (en %),,,
Espanyols,"89,4 85,8",,"78,3"
Estrangers,"10,6 14,2",,"21,7"
Principals nacionalitats estrangeres,,,
"",Itàlia Itàlia,,Itàlia
"",198 2.947,,39.863
"",França França,,Pakistan
"",174 2.363,,22.749
"","Estats Units, eElstats Units, els",,Xina
"",130 975,,22.477
% Titulats superiors i CFGS (1),"53,8 52,2",,"33,4"
Taxa natalitat / 1.000 hab.,"8,2 8,2",,"7,7"
Població de més de 65 anys que viu sola (%) (2),"21,0 25,0",,"25,7"
Índex de sobreenvelliment  (3),"55,0 55,2",,"53,4"
Turismes (persones físiques) / 1.000 hab (4),"402,3 343,8",,"263,5"
Motos (persones físiques) / 1.000 hab (4),"253,9 220,1",,"119,8"
Ciclomotors (persones físiques) / 1.000 hab (4),"29,7 28,6",,"25,0"
Nombre d'aturats registrats (5),355 3.480,,69.047
Renda familiar disponible per habitant (2017),"215,8 182,8",,"100,0"
Índex Barcelona=100,,,
