INDICADORS SOCIOECONÒMICS 2019,BARRI,DISTRICTE,BARCELONA
Població,16.269,174.012,1.666.530
Superfície (km2),"0,4","8,1","101,4"
Densitat (hab/km2),45.930,21.614,16.443
Població per sexe,,,
Dones,8.702,92.318,874.423
Homes,7.567,81.694,792.107
Població per edat (en %),,,
0-14,"14,2","13,1","12,3"
15-24,"9,9","9,8","9,4"
25-64,"56,0","54,7","57,2"
65 i mes,"20,0","22,3","21,1"
Població per lloc de naixement (en %),,,
Barcelona,"43,7","46,4","49,3"
Resta Catalunya,"4,5","4,8","7,2"
Resta Espanya,"16,4","20,9","15,7"
Estranger,"35,4","27,8","27,8"
Població per nacionalitat (en %),,,
Espanyols,"75,3","79,7","78,3"
Estrangers,"24,7","20,3","21,7"
Principals nacionalitats estrangeres,,,
"",Bolívia,Hondures,Itàlia
"",494,5.548,39.863
"",Pakistan,Pakistan,Pakistan
"",393,2.517,22.749
"",República Dominicana,"Marroc, el",Xina
"",324,2.123,22.477
% Titulats superiors i CFGS (1),"16,5","15,5","33,4"
Taxa natalitat / 1.000 hab.,"10,1","7,9","7,7"
Població de més de 65 anys que viu sola (%) (2),"31,8","25,7","25,7"
Índex de sobreenvelliment  (3),"67,6","56,5","53,4"
Turismes (persones físiques) / 1.000 hab (4),"203,6","259,4","263,5"
Motos (persones físiques) / 1.000 hab (4),"76,5","79,8","119,8"
Ciclomotors (persones físiques) / 1.000 hab (4),"22,4","22,7","25,0"
Nombre d'aturats registrats (5),758,9.297,69.047
Renda familiar disponible per habitant (2017),"51,9","55,0","100,0"
Índex Barcelona=100,,,
