INDICADORS SOCIOECONÒMICS 2019,BARRI,DISTRICTE,BARCELONA
Població,46.731,82.635,1.666.530
Superfície (km2),"1,4","6,0","101,4"
Densitat (hab/km2),33.133,13.748,16.443
Població per sexe,,,
Dones,25.038,44.202,874.423
Homes,21.693,38.433,792.107
Població per edat (en %),,,
0-14,"12,1","12,5","12,3"
15-24,"8,6","9,1","9,4"
25-64,"53,0","52,2","57,2"
65 i mes,"26,3","26,2","21,1"
Població per lloc de naixement (en %),,,
Barcelona,"55,0","53,7","49,3"
Resta Catalunya,"10,7","10,6","7,2"
Resta Espanya,"15,4","16,1","15,7"
Estranger,"18,8","19,6","27,8"
Població per nacionalitat (en %),,,
Espanyols,"86,2","85,5","78,3"
Estrangers,"13,8","14,5","21,7"
Principals nacionalitats estrangeres,,,
"",Itàlia,Itàlia,Itàlia
"",641,1.211,39.863
"",Xina,Xina,Pakistan
"",608,920,22.749
"",Veneçuela,França,Xina
"",330,849,22.477
% Titulats superiors i CFGS (1),"45,0","44,7","33,4"
Taxa natalitat / 1.000 hab.,"7,4","7,0","7,7"
Població de més de 65 anys que viu sola (%) (2),"23,7","23,0","25,7"
Índex de sobreenvelliment  (3),"50,1","51,2","53,4"
Turismes (persones físiques) / 1.000 hab (4),"318,0","342,9","263,5"
Motos (persones físiques) / 1.000 hab (4),"146,3","157,5","119,8"
Ciclomotors (persones físiques) / 1.000 hab (4),"23,7","25,7","25,0"
Nombre d'aturats registrats (5),1.665,2.708,69.047
Renda familiar disponible per habitant (2017),"120,0","137,3","100,0"
Índex Barcelona=100,,,
