INDICADORS SOCIOECONÒMICS 2019,BARRI,DISTRICTE,BARCELONA
Població,9.331,174.799,1.666.530
Superfície (km2),"0,4","11,9","101,4"
Densitat (hab/km2),24.288,14.665,16.443
Població per sexe,,,
Dones,4.908,92.732,874.423
Homes,4.423,82.067,792.107
Població per edat (en %),,,
0-14,"12,0","12,1","12,3"
15-24,"8,5","9,2","9,4"
25-64,"57,6","55,5","57,2"
65 i mes,"21,9","23,2","21,1"
Població per lloc de naixement (en %),,,
Barcelona,"52,9","51,9","49,3"
Resta Catalunya,"6,2","6,1","7,2"
Resta Espanya,"18,2","19,1","15,7"
Estranger,"22,7","22,9","27,8"
Població per nacionalitat (en %),,,
Espanyols,"82,1","83,4","78,3"
Estrangers,"17,9","16,6","21,7"
Principals nacionalitats estrangeres,,,
"",Itàlia,Itàlia,Itàlia
"",208,2.687,39.863
"",França,Hondures,Pakistan
"",91,2.065,22.749
"",Perú,Colòmbia,Xina
"",87,1.893,22.477
% Titulats superiors i CFGS (1),"29,8","26,4","33,4"
Taxa natalitat / 1.000 hab.,"8,7","7,3","7,7"
Població de més de 65 anys que viu sola (%) (2),"25,5","24,4","25,7"
Índex de sobreenvelliment  (3),"52,5","55,8","53,4"
Turismes (persones físiques) / 1.000 hab (4),"283,7","277,6","263,5"
Motos (persones físiques) / 1.000 hab (4),"165,7","128,3","119,8"
Ciclomotors (persones físiques) / 1.000 hab (4),"41,9","28,9","25,0"
Nombre d'aturats registrats (5),377,7.454,69.047
Renda familiar disponible per habitant (2017),"83,3","78,0","100,0"
Índex Barcelona=100,,,
