INDICADORS SOCIOECONÒMICS 2019,BARRI,DISTRICTE,BARCELONA
Població,50.926,123.651,1.666.530
Superfície (km2),"1,3","4,2","101,4"
Densitat (hab/km2),38.546,29.272,16.443
Població per sexe,,,
Dones,27.736,66.826,874.423
Homes,23.190,56.825,792.107
Població per edat (en %),,,
0-14,"11,3","11,8","12,3"
15-24,"8,1","8,4","9,4"
25-64,"61,6","58,3","57,2"
65 i mes,"19,0","21,5","21,1"
Població per lloc de naixement (en %),,,
Barcelona,"49,5","52,6","49,3"
Resta Catalunya,"8,9","8,7","7,2"
Resta Espanya,"13,0","13,8","15,7"
Estranger,"28,6","24,9","27,8"
Població per nacionalitat (en %),,,
Espanyols,"76,4","80,3","78,3"
Estrangers,"23,6","19,7","21,7"
Principals nacionalitats estrangeres,,,
"",Itàlia,Itàlia,Itàlia
"",2.223,4.065,39.863
"",França,França,Pakistan
"",1.135,1.904,22.749
"",Regne Unit,Regne Unit,Xina
"",609,1.003,22.477
% Titulats superiors i CFGS (1),"47,5","43,9","33,4"
Taxa natalitat / 1.000 hab.,"9,1","8,0","7,7"
Població de més de 65 anys que viu sola (%) (2),"30,8","28,0","25,7"
Índex de sobreenvelliment  (3),"55,1","53,1","53,4"
Turismes (persones físiques) / 1.000 hab (4),"209,3","252,7","263,5"
Motos (persones físiques) / 1.000 hab (4),"132,3","143,5","119,8"
Ciclomotors (persones físiques) / 1.000 hab (4),"27,4","28,9","25,0"
Nombre d'aturats registrats (5),1.939,4.617,69.047
Renda familiar disponible per habitant (2017),"104,4","105,3","100,0"
Índex Barcelona=100,,,
