INDICADORS SOCIOECONÒMICS 2019,BARRI DISTRICTE,,BARCELONA
Població,4.710 151.157,,1.666.530
Superfície (km2),"11,3 19,9",,"101,4"
Densitat (hab/km2),416 7.590,,16.443
Població per sexe,,,
Dones,2.381 81.679,,874.423
Homes,2.329 69.478,,792.107
Població per edat (en %),,,
0-14,"17,7 15,4",,"12,3"
15-24,"11,6 11,6",,"9,4"
25-64,"55,4 51,5",,"57,2"
65 i mes,"15,2 21,5",,"21,1"
Població per lloc de naixement (en %),,,
Barcelona,"62,1 62,0",,"49,3"
Resta Catalunya,"8,9 8,7",,"7,2"
Resta Espanya,"9,3 10,2",,"15,7"
Estranger,"19,6 19,1",,"27,8"
Població per nacionalitat (en %),,,
Espanyols,"84,4 85,8",,"78,3"
Estrangers,"15,6 14,2",,"21,7"
Principals nacionalitats estrangeres,,,
"",Itàlia Itàlia,,Itàlia
"",108 2.947,,39.863
"",França França,,Pakistan
"",105 2.363,,22.749
"","Regne UEnisttats Units, els",,Xina
"",65 975,,22.477
% Titulats superiors i CFGS (1),"43,1 52,2",,"33,4"
Taxa natalitat / 1.000 hab.,"8,7 8,2",,"7,7"
Població de més de 65 anys que viu sola (%) (2),"20,2 25,0",,"25,7"
Índex de sobreenvelliment  (3),"47,4 55,2",,"53,4"
Turismes (persones físiques) / 1.000 hab (4),"388,5 343,8",,"263,5"
Motos (persones físiques) / 1.000 hab (4),"193,8 220,1",,"119,8"
Ciclomotors (persones físiques) / 1.000 hab (4),"27,0 28,6",,"25,0"
Nombre d'aturats registrats (5),91 3.480,,69.047
Renda familiar disponible per habitant (2017),"144,1 182,8",,"100,0"
Índex Barcelona=100,,,
