INDICADORS SOCIOECONÒMICS 2019,BARRI,DISTRICTE,BARCELONA
Població,21.523,241.691,1.666.530
Superfície (km2),"1,1","10,4","101,4"
Densitat (hab/km2),19.823,23.270,16.443
Població per sexe,,,
Dones,11.180,125.269,874.423
Homes,10.343,116.422,792.107
Població per edat (en %),,,
0-14,"14,2","13,1","12,3"
15-24,"8,8","9,1","9,4"
25-64,"59,0","57,4","57,2"
65 i mes,"18,0","20,4","21,1"
Població per lloc de naixement (en %),,,
Barcelona,"53,8","50,2","49,3"
Resta Catalunya,"6,6","6,8","7,2"
Resta Espanya,"17,1","17,3","15,7"
Estranger,"22,5","25,8","27,8"
Població per nacionalitat (en %),,,
Espanyols,"82,6","79,6","78,3"
Estrangers,"17,4","20,4","21,7"
Principals nacionalitats estrangeres,,,
"",Itàlia,Itàlia,Itàlia
"",471,5.674,39.863
"",Xina,Xina,Pakistan
"",245,4.476,22.749
"","Marroc, el",Pakistan,Xina
"",220,4.181,22.477
% Titulats superiors i CFGS (1),"26,9","28,4","33,4"
Taxa natalitat / 1.000 hab.,"9,0","7,7","7,7"
Població de més de 65 anys que viu sola (%) (2),"22,8","24,3","25,7"
Índex de sobreenvelliment  (3),"49,9","51,8","53,4"
Turismes (persones físiques) / 1.000 hab (4),"291,4","271,6","263,5"
Motos (persones físiques) / 1.000 hab (4),"96,7","97,1","119,8"
Ciclomotors (persones físiques) / 1.000 hab (4),"21,6","21,8","25,0"
Nombre d'aturats registrats (5),927,10.862,69.047
Renda familiar disponible per habitant (2017),"102,3","88,1","100,0"
Índex Barcelona=100,,,
