INDICADORS SOCIOECONÒMICS 2019,BARRI,DISTRICTE,BARCELONA
Població,27.069,241.691,1.666.530
Superfície (km2),"0,7","10,4","101,4"
Densitat (hab/km2),38.848,23.270,16.443
Població per sexe,,,
Dones,14.121,125.269,874.423
Homes,12.948,116.422,792.107
Població per edat (en %),,,
0-14,"12,0","13,1","12,3"
15-24,"9,5","9,1","9,4"
25-64,"58,0","57,4","57,2"
65 i mes,"20,6","20,4","21,1"
Població per lloc de naixement (en %),,,
Barcelona,"52,4","50,2","49,3"
Resta Catalunya,"6,9","6,8","7,2"
Resta Espanya,"17,4","17,3","15,7"
Estranger,"23,2","25,8","27,8"
Població per nacionalitat (en %),,,
Espanyols,"82,7","79,6","78,3"
Estrangers,"17,3","20,4","21,7"
Principals nacionalitats estrangeres,,,
"",Itàlia,Itàlia,Itàlia
"",635,5.674,39.863
"",Xina,Xina,Pakistan
"",503,4.476,22.749
"",Marroc,Pakistan,Xina
"",287,4.181,22.477
% Titulats superiors i CFGS (1),"29,4","28,4","33,4"
Taxa natalitat / 1.000 hab.,"6,7","7,7","7,7"
Població de més de 65 anys que viu sola (%) (2),"23,1","24,3","25,7"
Índex de sobreenvelliment  (3),"46,8","51,8","53,4"
Turismes (persones físiques) / 1.000 hab (4),"279,0","271,6","263,5"
Motos (persones físiques) / 1.000 hab (4),"103,4","97,1","119,8"
Ciclomotors (persones físiques) / 1.000 hab (4),"23,9","21,8","25,0"
Nombre d'aturats registrats (5),1.169,10.862,69.047
Renda familiar disponible per habitant (2017),"83,6","88,1","100,0"
Índex Barcelona=100,,,
