INDICADORS SOCIOECONÒMICS 2019,BARRI,DISTRICTE,BARCELONA
Població,26.180,174.799,1.666.530
Superfície (km2),"0,6","11,9","101,4"
Densitat (hab/km2),46.545,14.665,16.443
Població per sexe,,,
Dones,14.083,92.732,874.423
Homes,12.097,82.067,792.107
Població per edat (en %),,,
0-14,"10,9","12,1","12,3"
15-24,"8,2","9,2","9,4"
25-64,"56,0","55,5","57,2"
65 i mes,"24,8","23,2","21,1"
Població per lloc de naixement (en %),,,
Barcelona,"52,7","51,9","49,3"
Resta Catalunya,"8,2","6,1","7,2"
Resta Espanya,"16,0","19,1","15,7"
Estranger,"23,1","22,9","27,8"
Població per nacionalitat (en %),,,
Espanyols,"83,7","83,4","78,3"
Estrangers,"16,3","16,6","21,7"
Principals nacionalitats estrangeres,,,
"",Itàlia,Itàlia,Itàlia
"",612,2.687,39.863
"",Xina,Hondures,Pakistan
"",612,2.065,22.749
"",Veneçuela,Colòmbia,Xina
"",262,1.893,22.477
% Titulats superiors i CFGS (1),"34,3","26,4","33,4"
Taxa natalitat / 1.000 hab.,"6,8","7,3","7,7"
Població de més de 65 anys que viu sola (%) (2),"24,9","24,4","25,7"
Índex de sobreenvelliment  (3),"58,3","55,8","53,4"
Turismes (persones físiques) / 1.000 hab (4),"261,1","277,6","263,5"
Motos (persones físiques) / 1.000 hab (4),"125,7","128,3","119,8"
Ciclomotors (persones físiques) / 1.000 hab (4),"27,3","28,9","25,0"
Nombre d'aturats registrats (5),990,7.454,69.047
Renda familiar disponible per habitant (2017),"92,0","78,0","100,0"
Índex Barcelona=100,,,
