INDICADORS SOCIOECONÒMICS 2019,BARRI,DISTRICTE,BARCELONA
Població,2.925,174.012,1.666.530
Superfície (km2),"1,7","8,1","101,4"
Densitat (hab/km2),1.679,21.614,16.443
Població per sexe,,,
Dones,1.467,92.318,874.423
Homes,1.458,81.694,792.107
Població per edat (en %),,,
0-14,"17,7","13,1","12,3"
15-24,"12,6","9,8","9,4"
25-64,"56,3","54,7","57,2"
65 i mes,"13,3","22,3","21,1"
Població per lloc de naixement (en %),,,
Barcelona,"49,3","46,4","49,3"
Resta Catalunya,"5,8","4,8","7,2"
Resta Espanya,"17,3","20,9","15,7"
Estranger,"27,6","27,8","27,8"
Població per nacionalitat (en %),,,
Espanyols,"80,3","79,7","78,3"
Estrangers,"19,7","20,3","21,7"
Principals nacionalitats estrangeres,,,
"","Marroc, el",Hondures,Itàlia
"",141,5.548,39.863
"",Hondures,Pakistan,Pakistan
"",63,2.517,22.749
"",Pakistan,"Marroc, el",Xina
"",30,2.123,22.477
% Titulats superiors i CFGS (1),"8,9","15,5","33,4"
Taxa natalitat / 1.000 hab.,"10,0","7,9","7,7"
Població de més de 65 anys que viu sola (%) (2),"21,3","25,7","25,7"
Índex de sobreenvelliment  (3),"44,9","56,5","53,4"
Turismes (persones físiques) / 1.000 hab (4),"295,7","259,4","263,5"
Motos (persones físiques) / 1.000 hab (4),"78,3","79,8","119,8"
Ciclomotors (persones físiques) / 1.000 hab (4),"44,8","22,7","25,0"
Nombre d'aturats registrats (5),172,9.297,69.047
Renda familiar disponible per habitant (2017),"46,5","55,0","100,0"
Índex Barcelona=100,,,
