INDICADORS SOCIOECONÒMICS 2019,BARRI,DISTRICTE,BARCELONA
Població,43.228,270.694,1.666.530
Superfície (km2),"1,2","7,5","101,4"
Densitat (hab/km2),35.189,36.265,16.443
Població per sexe,,,
Dones,22.910,144.056,874.423
Homes,20.318,126.638,792.107
Població per edat (en %),,,
0-14,"10,2","10,5","12,3"
15-24,"9,0","8,8","9,4"
25-64,"59,9","58,8","57,2"
65 i mes,"20,8","21,9","21,1"
Població per lloc de naixement (en %),,,
Barcelona,"46,4","47,1","49,3"
Resta Catalunya,"8,9","8,4","7,2"
Resta Espanya,"12,6","13,9","15,7"
Estranger,"32,1","30,7","27,8"
Població per nacionalitat (en %),,,
Espanyols,"74,4","75,6","78,3"
Estrangers,"25,6","24,4","21,7"
Principals nacionalitats estrangeres,,,
"",Itàlia,Itàlia,Itàlia
"",1.596,9.559,39.863
"",França,Xina,Pakistan
"",807,6.119,22.749
"",Xina,França,Xina
"",717,4.258,22.477
% Titulats superiors i CFGS (1),"49,7","44,5","33,4"
Taxa natalitat / 1.000 hab.,"7,2","7,2","7,7"
Població de més de 65 anys que viu sola (%) (2),"29,0","27,4","25,7"
Índex de sobreenvelliment  (3),"54,4","53,5","53,4"
Turismes (persones físiques) / 1.000 hab (4),"232,8","245,4","263,5"
Motos (persones físiques) / 1.000 hab (4),"141,9","126,7","119,8"
Ciclomotors (persones físiques) / 1.000 hab (4),"24,7","24,2","25,0"
Nombre d'aturats registrats (5),1.345,9.326,69.047
Renda familiar disponible per habitant (2017),"137,2","122,4","100,0"
Índex Barcelona=100,,,
