INDICADORS SOCIOECONÒMICS 2019,BARRI DISTRICTE,,BARCELONA
Població,26.245 151.157,,1.666.530
Superfície (km2),"2,2 19,9",,"101,4"
Densitat (hab/km2),11.750 7.590,,16.443
Població per sexe,,,
Dones,14.132 81.679,,874.423
Homes,12.113 69.478,,792.107
Població per edat (en %),,,
0-14,"15,8 15,4",,"12,3"
15-24,"11,9 11,6",,"9,4"
25-64,"50,3 51,5",,"57,2"
65 i mes,"21,9 21,5",,"21,1"
Població per lloc de naixement (en %),,,
Barcelona,"63,1 62,0",,"49,3"
Resta Catalunya,"8,5 8,7",,"7,2"
Resta Espanya,"10,1 10,2",,"15,7"
Estranger,"18,3 19,1",,"27,8"
Població per nacionalitat (en %),,,
Espanyols,"86,3 85,8",,"78,3"
Estrangers,"13,7 14,2",,"21,7"
Principals nacionalitats estrangeres,,,
"",Itàlia Itàlia,,Itàlia
"",404 2.947,,39.863
"",Xina França,,Pakistan
"",297 2.363,,22.749
"","FranEçastats Units, els",,Xina
"",291 975,,22.477
% Titulats superiors i CFGS (1),"51,7 52,2",,"33,4"
Taxa natalitat / 1.000 hab.,"7,4 8,2",,"7,7"
Població de més de 65 anys que viu sola (%) (2),"23,5 25,0",,"25,7"
Índex de sobreenvelliment  (3),"55,7 55,2",,"53,4"
Turismes (persones físiques) / 1.000 hab (4),"348,6 343,8",,"263,5"
Motos (persones físiques) / 1.000 hab (4),"227,4 220,1",,"119,8"
Ciclomotors (persones físiques) / 1.000 hab (4),"31,2 28,6",,"25,0"
Nombre d'aturats registrats (5),583 3.480,,69.047
Renda familiar disponible per habitant (2017),"184,6 182,8",,"100,0"
Índex Barcelona=100,,,
