INDICADORS SOCIOECONÒMICS 2019,BARRI,DISTRICTE,BARCELONA
Població,10.487,151.976,1.666.530
Superfície (km2),"0,8","6,6","101,4"
Densitat (hab/km2),12.986,23.065,16.443
Població per sexe,,,
Dones,5.143,79.738,874.423
Homes,5.344,72.238,792.107
Població per edat (en %),,,
0-14,"17,2","13,2","12,3"
15-24,"11,2","9,1","9,4"
25-64,"56,6","56,0","57,2"
65 i mes,"15,0","21,7","21,1"
Població per lloc de naixement (en %),,,
Barcelona,"39,2","53,9","49,3"
Resta Catalunya,"4,0","6,9","7,2"
Resta Espanya,"16,6","17,7","15,7"
Estranger,"40,1","21,5","27,8"
Població per nacionalitat (en %),,,
Espanyols,"67,8","84,8","78,3"
Estrangers,"32,2","15,2","21,7"
Principals nacionalitats estrangeres,,,
"",Pakistan,Xina,Itàlia
"",799,2.129,39.863
"","Marroc, el",Pakistan,Pakistan
"",591,1.710,22.749
"",Equador,Itàlia,Xina
"",161,1.675,22.477
% Titulats superiors i CFGS (1),"10,4","24,4","33,4"
Taxa natalitat / 1.000 hab.,"11,3","7,8","7,7"
Població de més de 65 anys que viu sola (%) (2),"22,4","24,0","25,7"
Índex de sobreenvelliment  (3),"49,0","50,2","53,4"
Turismes (persones físiques) / 1.000 hab (4),"254,6","280,2","263,5"
Motos (persones físiques) / 1.000 hab (4),"63,9","93,8","119,8"
Ciclomotors (persones físiques) / 1.000 hab (4),"27,8","20,7","25,0"
Nombre d'aturats registrats (5),831,6.828,69.047
Renda familiar disponible per habitant (2017),"47,1","74,6","100,0"
Índex Barcelona=100,,,
