INDICADORS SOCIOECONÒMICS 2019,BARRI,DISTRICTE,BARCELONA
Població,10.377,187.584,1.666.530
Superfície (km2),"0,3","22,7","101,4"
Densitat (hab/km2),34.931,8.272,16.443
Població per sexe,,,
Dones,5.476,97.469,874.423
Homes,4.901,90.115,792.107
Població per edat (en %),,,
0-14,"9,6","11,4","12,3"
15-24,"8,8","9,1","9,4"
25-64,"58,0","59,6","57,2"
65 i mes,"23,5","19,9","21,1"
Població per lloc de naixement (en %),,,
Barcelona,"43,9","46,1","49,3"
Resta Catalunya,"7,2","7,1","7,2"
Resta Espanya,"19,8","15,9","15,7"
Estranger,"29,2","30,9","27,8"
Població per nacionalitat (en %),,,
Espanyols,"78,2","76,2","78,3"
Estrangers,"21,8","23,8","21,7"
Principals nacionalitats estrangeres,,,
"",Itàlia,Itàlia,Itàlia
"",319,4.524,39.863
"",Xina,Pakistan,Pakistan
"",175,3.348,22.749
"",Colòmbia,Xina,Xina
"",117,3.137,22.477
% Titulats superiors i CFGS (1),"31,9","28,2","33,4"
Taxa natalitat / 1.000 hab.,"6,7","8,0","7,7"
Població de més de 65 anys que viu sola (%) (2),"24,9","25,7","25,7"
Índex de sobreenvelliment  (3),"51,9","52,2","53,4"
Turismes (persones físiques) / 1.000 hab (4),"268,5","242,4","263,5"
Motos (persones físiques) / 1.000 hab (4),"122,1","102,1","119,8"
Ciclomotors (persones físiques) / 1.000 hab (4),"28,2","25,9","25,0"
Nombre d'aturats registrats (5),516,8.162,69.047
Renda familiar disponible per habitant (2017),"82,9","84,6","100,0"
Índex Barcelona=100,,,
