INDICADORS SOCIOECONÒMICS 2019,BARRI,DISTRICTE,BARCELONA
Població,13.478,123.651,1.666.530
Superfície (km2),"0,6","4,2","101,4"
Densitat (hab/km2),20.787,29.272,16.443
Població per sexe,,,
Dones,7.253,66.826,874.423
Homes,6.225,56.825,792.107
Població per edat (en %),,,
0-14,"12,5","11,8","12,3"
15-24,"8,7","8,4","9,4"
25-64,"54,0","58,3","57,2"
65 i mes,"24,8","21,5","21,1"
Població per lloc de naixement (en %),,,
Barcelona,"55,8","52,6","49,3"
Resta Catalunya,"8,8","8,7","7,2"
Resta Espanya,"14,3","13,8","15,7"
Estranger,"21,2","24,9","27,8"
Població per nacionalitat (en %),,,
Espanyols,"83,9","80,3","78,3"
Estrangers,"16,1","19,7","21,7"
Principals nacionalitats estrangeres,,,
"",Itàlia,Itàlia,Itàlia
"",347,4.065,39.863
"",França,França,Pakistan
"",131,1.904,22.749
"","Marroc, el",Regne Unit,Xina
"",117,1.003,22.477
% Titulats superiors i CFGS (1),"42,1","43,9","33,4"
Taxa natalitat / 1.000 hab.,"7,2","8,0","7,7"
Població de més de 65 anys que viu sola (%) (2),"25,4","28,0","25,7"
Índex de sobreenvelliment  (3),"51,1","53,1","53,4"
Turismes (persones físiques) / 1.000 hab (4),"300,4","252,7","263,5"
Motos (persones físiques) / 1.000 hab (4),"164,4","143,5","119,8"
Ciclomotors (persones físiques) / 1.000 hab (4),"31,0","28,9","25,0"
Nombre d'aturats registrats (5),526,4.617,69.047
Renda familiar disponible per habitant (2017),"109,9","105,3","100,0"
Índex Barcelona=100,,,
