INDICADORS SOCIOECONÒMICS 2019,BARRI,DISTRICTE,BARCELONA
Població,37.584,174.799,1.666.530
Superfície (km2),"1,3","11,9","101,4"
Densitat (hab/km2),28.718,14.665,16.443
Població per sexe,,,
Dones,19.991,92.732,874.423
Homes,17.593,82.067,792.107
Població per edat (en %),,,
0-14,"12,2","12,1","12,3"
15-24,"8,8","9,2","9,4"
25-64,"57,0","55,5","57,2"
65 i mes,"22,0","23,2","21,1"
Població per lloc de naixement (en %),,,
Barcelona,"53,2","51,9","49,3"
Resta Catalunya,"6,9","6,1","7,2"
Resta Espanya,"15,2","19,1","15,7"
Estranger,"24,7","22,9","27,8"
Població per nacionalitat (en %),,,
Espanyols,"82,8","83,4","78,3"
Estrangers,"17,2","16,6","21,7"
Principals nacionalitats estrangeres,,,
"",Itàlia,Itàlia,Itàlia
"",711,2.687,39.863
"",Colòmbia,Hondures,Pakistan
"",528,2.065,22.749
"",Hondures,Colòmbia,Xina
"",369,1.893,22.477
% Titulats superiors i CFGS (1),"32,0","26,4","33,4"
Taxa natalitat / 1.000 hab.,"7,8","7,3","7,7"
Població de més de 65 anys que viu sola (%) (2),"26,3","24,4","25,7"
Índex de sobreenvelliment  (3),"53,5","55,8","53,4"
Turismes (persones físiques) / 1.000 hab (4),"267,6","277,6","263,5"
Motos (persones físiques) / 1.000 hab (4),"121,8","128,3","119,8"
Ciclomotors (persones físiques) / 1.000 hab (4),"26,1","28,9","25,0"
Nombre d'aturats registrats (5),1.475,7.454,69.047
Renda familiar disponible per habitant (2017),"79,1","78,0","100,0"
Índex Barcelona=100,,,
