INDICADORS SOCIOECONÒMICS 2019,BARRI,DISTRICTE,BARCELONA
Població,1.421,174.012,1.666.530
Superfície (km2),"0,6","8,1","101,4"
Densitat (hab/km2),2.336,21.614,16.443
Població per sexe,,,
Dones,735,92.318,874.423
Homes,686,81.694,792.107
Població per edat (en %),,,
0-14,"17,7","13,1","12,3"
15-24,"10,1","9,8","9,4"
25-64,"54,5","54,7","57,2"
65 i mes,"17,7","22,3","21,1"
Població per lloc de naixement (en %),,,
Barcelona,"49,5","46,4","49,3"
Resta Catalunya,"6,8","4,8","7,2"
Resta Espanya,"20,0","20,9","15,7"
Estranger,"23,8","27,8","27,8"
Població per nacionalitat (en %),,,
Espanyols,"83,9","79,7","78,3"
Estrangers,"16,1","20,3","21,7"
Principals nacionalitats estrangeres,,,
"",Pakistan,Hondures,Itàlia
"",49,5.548,39.863
"","Marroc, el",Pakistan,Pakistan
"",31,2.517,22.749
"",Hondures,"Marroc, el",Xina
"",15,2.123,22.477
% Titulats superiors i CFGS (1),"9,5","15,5","33,4"
Taxa natalitat / 1.000 hab.,"8,5","7,9","7,7"
Població de més de 65 anys que viu sola (%) (2),"13,9","25,7","25,7"
Índex de sobreenvelliment  (3),"59,4","56,5","53,4"
Turismes (persones físiques) / 1.000 hab (4),"308,2","259,4","263,5"
Motos (persones físiques) / 1.000 hab (4),"85,2","79,8","119,8"
Ciclomotors (persones físiques) / 1.000 hab (4),"44,3","22,7","25,0"
Nombre d'aturats registrats (5),104,9.297,69.047
Renda familiar disponible per habitant (2017),"40,9","55,0","100,0"
Índex Barcelona=100,,,
