INDICADORS SOCIOECONÒMICS 2019,BARRI,DISTRICTE,BARCELONA
Població,23.968,82.635,1.666.530
Superfície (km2),"1,9","6,0","101,4"
Densitat (hab/km2),12.514,13.748,16.443
Població per sexe,,,
Dones,12.805,44.202,874.423
Homes,11.163,38.433,792.107
Població per edat (en %),,,
0-14,"11,9","12,5","12,3"
15-24,"8,7","9,1","9,4"
25-64,"52,7","52,2","57,2"
65 i mes,"26,7","26,2","21,1"
Població per lloc de naixement (en %),,,
Barcelona,"51,3","53,7","49,3"
Resta Catalunya,"10,9","10,6","7,2"
Resta Espanya,"18,7","16,1","15,7"
Estranger,"19,1","19,6","27,8"
Població per nacionalitat (en %),,,
Espanyols,"86,3","85,5","78,3"
Estrangers,"13,7","14,5","21,7"
Principals nacionalitats estrangeres,,,
"",Itàlia,Itàlia,Itàlia
"",343,1.211,39.863
"",Xina,Xina,Pakistan
"",221,920,22.749
"",Colòmbia,França,Xina
"",203,849,22.477
% Titulats superiors i CFGS (1),"40,4","44,7","33,4"
Taxa natalitat / 1.000 hab.,"6,6","7,0","7,7"
Població de més de 65 anys que viu sola (%) (2),"22,8","23,0","25,7"
Índex de sobreenvelliment  (3),"51,0","51,2","53,4"
Turismes (persones físiques) / 1.000 hab (4),"331,4","342,9","263,5"
Motos (persones físiques) / 1.000 hab (4),"144,1","157,5","119,8"
Ciclomotors (persones físiques) / 1.000 hab (4),"26,9","25,7","25,0"
Nombre d'aturats registrats (5),835,2.708,69.047
Renda familiar disponible per habitant (2017),"114,2","137,3","100,0"
Índex Barcelona=100,,,
