INDICADORS SOCIOECONÒMICS 2019,BARRI,DISTRICTE,BARCELONA
Població,7.669,174.012,1.666.530
Superfície (km2),"0,6","8,1","101,4"
Densitat (hab/km2),13.298,21.614,16.443
Població per sexe,,,
Dones,4.017,92.318,874.423
Homes,3.652,81.694,792.107
Població per edat (en %),,,
0-14,"14,1","13,1","12,3"
15-24,"11,0","9,8","9,4"
25-64,"57,6","54,7","57,2"
65 i mes,"17,3","22,3","21,1"
Població per lloc de naixement (en %),,,
Barcelona,"49,2","46,4","49,3"
Resta Catalunya,"4,3","4,8","7,2"
Resta Espanya,"14,3","20,9","15,7"
Estranger,"32,2","27,8","27,8"
Població per nacionalitat (en %),,,
Espanyols,"75,5","79,7","78,3"
Estrangers,"24,5","20,3","21,7"
Principals nacionalitats estrangeres,,,
"",Hondures,Hondures,Itàlia
"",220,5.548,39.863
"",Pakistan,Pakistan,Pakistan
"",206,2.517,22.749
"","Marroc, el","Marroc, el",Xina
"",136,2.123,22.477
% Titulats superiors i CFGS (1),"9,6","15,5","33,4"
Taxa natalitat / 1.000 hab.,"8,2","7,9","7,7"
Població de més de 65 anys que viu sola (%) (2),"31,4","25,7","25,7"
Índex de sobreenvelliment  (3),"52,9","56,5","53,4"
Turismes (persones físiques) / 1.000 hab (4),"241,2","259,4","263,5"
Motos (persones físiques) / 1.000 hab (4),"67,2","79,8","119,8"
Ciclomotors (persones físiques) / 1.000 hab (4),"29,6","22,7","25,0"
Nombre d'aturats registrats (5),620,9.297,69.047
Renda familiar disponible per habitant (2017),"48,2","55,0","100,0"
Índex Barcelona=100,,,
