INDICADORS SOCIOECONÒMICS 2019,BARRI,DISTRICTE,BARCELONA
Població,15.947,241.691,1.666.530
Superfície (km2),"1,1","10,4","101,4"
Densitat (hab/km2),14.212,23.270,16.443
Població per sexe,,,
Dones,8.211,125.269,874.423
Homes,7.736,116.422,792.107
Població per edat (en %),,,
0-14,"12,4","13,1","12,3"
15-24,"8,6","9,1","9,4"
25-64,"59,0","57,4","57,2"
65 i mes,"20,0","20,4","21,1"
Població per lloc de naixement (en %),,,
Barcelona,"46,1","50,2","49,3"
Resta Catalunya,"6,8","6,8","7,2"
Resta Espanya,"17,3","17,3","15,7"
Estranger,"29,8","25,8","27,8"
Població per nacionalitat (en %),,,
Espanyols,"75,9","79,6","78,3"
Estrangers,"24,1","20,4","21,7"
Principals nacionalitats estrangeres,,,
"",Itàlia,Itàlia,Itàlia
"",651,5.674,39.863
"",Xina,Xina,Pakistan
"",348,4.476,22.749
"",França,Pakistan,Xina
"",217,4.181,22.477
% Titulats superiors i CFGS (1),"37,1","28,4","33,4"
Taxa natalitat / 1.000 hab.,"8,0","7,7","7,7"
Població de més de 65 anys que viu sola (%) (2),"26,1","24,3","25,7"
Índex de sobreenvelliment  (3),"48,4","51,8","53,4"
Turismes (persones físiques) / 1.000 hab (4),"250,1","271,6","263,5"
Motos (persones físiques) / 1.000 hab (4),"104,9","97,1","119,8"
Ciclomotors (persones físiques) / 1.000 hab (4),"22,4","21,8","25,0"
Nombre d'aturats registrats (5),572,10.862,69.047
Renda familiar disponible per habitant (2017),"100,4","88,1","100,0"
Índex Barcelona=100,,,
