INDICADORS SOCIOECONÒMICS 2019,BARRI,DISTRICTE,BARCELONA
Població,27.813,174.012,1.666.530
Superfície (km2),"0,8","8,1","101,4"
Densitat (hab/km2),33.236,21.614,16.443
Població per sexe,,,
Dones,14.799,92.318,874.423
Homes,13.014,81.694,792.107
Població per edat (en %),,,
0-14,"12,1","13,1","12,3"
15-24,"9,3","9,8","9,4"
25-64,"56,1","54,7","57,2"
65 i mes,"22,6","22,3","21,1"
Població per lloc de naixement (en %),,,
Barcelona,"43,2","46,4","49,3"
Resta Catalunya,"5,1","4,8","7,2"
Resta Espanya,"20,5","20,9","15,7"
Estranger,"31,2","27,8","27,8"
Població per nacionalitat (en %),,,
Espanyols,"76,0","79,7","78,3"
Estrangers,"24,0","20,3","21,7"
Principals nacionalitats estrangeres,,,
"",Hondures,Hondures,Itàlia
"",1.229,5.548,39.863
"",Colòmbia,Pakistan,Pakistan
"",439,2.517,22.749
"",Pakistan,"Marroc, el",Xina
"",436,2.123,22.477
% Titulats superiors i CFGS (1),"18,1","15,5","33,4"
Taxa natalitat / 1.000 hab.,"7,7","7,9","7,7"
Població de més de 65 anys que viu sola (%) (2),"25,1","25,7","25,7"
Índex de sobreenvelliment  (3),"57,9","56,5","53,4"
Turismes (persones físiques) / 1.000 hab (4),"231,3","259,4","263,5"
Motos (persones físiques) / 1.000 hab (4),"75,0","79,8","119,8"
Ciclomotors (persones físiques) / 1.000 hab (4),"18,9","22,7","25,0"
Nombre d'aturats registrats (5),1.199,9.297,69.047
Renda familiar disponible per habitant (2017),"64,4","55,0","100,0"
Índex Barcelona=100,,,
