INDICADORS SOCIOECONÒMICS 2019,BARRI,DISTRICTE,BARCELONA
Població,40.157,187.584,1.666.530
Superfície (km2),"4,6","22,7","101,4"
Densitat (hab/km2),8.758,8.272,16.443
Població per sexe,,,
Dones,20.420,97.469,874.423
Homes,19.737,90.115,792.107
Població per edat (en %),,,
0-14,"11,1","11,4","12,3"
15-24,"8,9","9,1","9,4"
25-64,"63,5","59,6","57,2"
65 i mes,"16,6","19,9","21,1"
Població per lloc de naixement (en %),,,
Barcelona,"38,9","46,1","49,3"
Resta Catalunya,"5,2","7,1","7,2"
Resta Espanya,"13,0","15,9","15,7"
Estranger,"42,9","30,9","27,8"
Població per nacionalitat (en %),,,
Espanyols,"65,5","76,2","78,3"
Estrangers,"34,5","23,8","21,7"
Principals nacionalitats estrangeres,,,
"",Itàlia,Itàlia,Itàlia
"",1.789,4.524,39.863
"",Pakistan,Pakistan,Pakistan
"",1.468,3.348,22.749
"",Filipines,Xina,Xina
"",1.042,3.137,22.477
% Titulats superiors i CFGS (1),"29,6","28,2","33,4"
Taxa natalitat / 1.000 hab.,"7,3","8,0","7,7"
Població de més de 65 anys que viu sola (%) (2),"28,6","25,7","25,7"
Índex de sobreenvelliment  (3),"53,7","52,2","53,4"
Turismes (persones físiques) / 1.000 hab (4),"195,5","242,4","263,5"
Motos (persones físiques) / 1.000 hab (4),"93,6","102,1","119,8"
Ciclomotors (persones físiques) / 1.000 hab (4),"28,3","25,9","25,0"
Nombre d'aturats registrats (5),2.045,8.162,69.047
Renda familiar disponible per habitant (2017),"82,2","84,6","100,0"
Índex Barcelona=100,,,
