INDICADORS SOCIOECONÒMICS 2019,BARRI,DISTRICTE,BARCELONA
Població,16.417,174.012,1.666.530
Superfície (km2),"0,6","8,1","101,4"
Densitat (hab/km2),25.531,21.614,16.443
Població per sexe,,,
Dones,8.516,92.318,874.423
Homes,7.901,81.694,792.107
Població per edat (en %),,,
0-14,"15,0","13,1","12,3"
15-24,"10,9","9,8","9,4"
25-64,"56,6","54,7","57,2"
65 i mes,"17,5","22,3","21,1"
Població per lloc de naixement (en %),,,
Barcelona,"44,4","46,4","49,3"
Resta Catalunya,"3,6","4,8","7,2"
Resta Espanya,"20,0","20,9","15,7"
Estranger,"32,0","27,8","27,8"
Població per nacionalitat (en %),,,
Espanyols,"75,3","79,7","78,3"
Estrangers,"24,7","20,3","21,7"
Principals nacionalitats estrangeres,,,
"",Hondures,Hondures,Itàlia
"",1.076,5.548,39.863
"",Pakistan,Pakistan,Pakistan
"",286,2.517,22.749
"","Marroc, el","Marroc, el",Xina
"",241,2.123,22.477
% Titulats superiors i CFGS (1),"9,8","15,5","33,4"
Taxa natalitat / 1.000 hab.,"9,0","7,9","7,7"
Població de més de 65 anys que viu sola (%) (2),"23,4","25,7","25,7"
Índex de sobreenvelliment  (3),"50,4","56,5","53,4"
Turismes (persones físiques) / 1.000 hab (4),"269,5","259,4","263,5"
Motos (persones físiques) / 1.000 hab (4),"77,4","79,8","119,8"
Ciclomotors (persones físiques) / 1.000 hab (4),"25,8","22,7","25,0"
Nombre d'aturats registrats (5),906,9.297,69.047
Renda familiar disponible per habitant (2017),"49,7","55,0","100,0"
Índex Barcelona=100,,,
