INDICADORS SOCIOECONÒMICS 2019,BARRI,DISTRICTE,BARCELONA
Població,27.003,174.012,1.666.530
Superfície (km2),"0,6","8,1","101,4"
Densitat (hab/km2),45.673,21.614,16.443
Població per sexe,,,
Dones,14.357,92.318,874.423
Homes,12.646,81.694,792.107
Població per edat (en %),,,
0-14,"12,3","13,1","12,3"
15-24,"9,4","9,8","9,4"
25-64,"53,7","54,7","57,2"
65 i mes,"24,6","22,3","21,1"
Població per lloc de naixement (en %),,,
Barcelona,"45,5","46,4","49,3"
Resta Catalunya,"4,8","4,8","7,2"
Resta Espanya,"25,0","20,9","15,7"
Estranger,"24,7","27,8","27,8"
Població per nacionalitat (en %),,,
Espanyols,"82,4","79,7","78,3"
Estrangers,"17,6","20,3","21,7"
Principals nacionalitats estrangeres,,,
"",Hondures,Hondures,Itàlia
"",800,5.548,39.863
"",Xina,Pakistan,Pakistan
"",355,2.517,22.749
"",Perú,"Marroc, el",Xina
"",274,2.123,22.477
% Titulats superiors i CFGS (1),"13,2","15,5","33,4"
Taxa natalitat / 1.000 hab.,"7,1","7,9","7,7"
Població de més de 65 anys que viu sola (%) (2),"25,6","25,7","25,7"
Índex de sobreenvelliment  (3),"58,0","56,5","53,4"
Turismes (persones físiques) / 1.000 hab (4),"271,8","259,4","263,5"
Motos (persones físiques) / 1.000 hab (4),"81,9","79,8","119,8"
Ciclomotors (persones físiques) / 1.000 hab (4),"20,7","22,7","25,0"
Nombre d'aturats registrats (5),1.347,9.297,69.047
Renda familiar disponible per habitant (2017),"56,0","55,0","100,0"
Índex Barcelona=100,,,
