INDICADORS SOCIOECONÒMICS 2019,BARRI,DISTRICTE,BARCELONA
Població,31.352,187.584,1.666.530
Superfície (km2),"1,3","22,7","101,4"
Densitat (hab/km2),24.714,8.272,16.443
Població per sexe,,,
Dones,16.302,97.469,874.423
Homes,15.050,90.115,792.107
Població per edat (en %),,,
0-14,"12,9","11,4","12,3"
15-24,"10,9","9,1","9,4"
25-64,"56,2","59,6","57,2"
65 i mes,"19,9","19,9","21,1"
Població per lloc de naixement (en %),,,
Barcelona,"50,8","46,1","49,3"
Resta Catalunya,"5,7","7,1","7,2"
Resta Espanya,"18,6","15,9","15,7"
Estranger,"24,8","30,9","27,8"
Població per nacionalitat (en %),,,
Espanyols,"82,3","76,2","78,3"
Estrangers,"17,7","23,8","21,7"
Principals nacionalitats estrangeres,,,
"",Xina,Itàlia,Itàlia
"",804,4.524,39.863
"",Filipines,Pakistan,Pakistan
"",433,3.348,22.749
"","Marroc, el",Xina,Xina
"",378,3.137,22.477
% Titulats superiors i CFGS (1),"16,8","28,2","33,4"
Taxa natalitat / 1.000 hab.,"8,0","8,0","7,7"
Població de més de 65 anys que viu sola (%) (2),"25,4","25,7","25,7"
Índex de sobreenvelliment  (3),"53,8","52,2","53,4"
Turismes (persones físiques) / 1.000 hab (4),"280,8","242,4","263,5"
Motos (persones físiques) / 1.000 hab (4),"106,8","102,1","119,8"
Ciclomotors (persones físiques) / 1.000 hab (4),"25,8","25,9","25,0"
Nombre d'aturats registrats (5),1.548,8.162,69.047
Renda familiar disponible per habitant (2017),"69,3","84,6","100,0"
Índex Barcelona=100,,,
