INDICADORS SOCIOECONÒMICS 2019,BARRI,DISTRICTE,BARCELONA
Població,709,174.799,1.666.530
Superfície (km2),"0,2","11,9","101,4"
Densitat (hab/km2),3.972,14.665,16.443
Població per sexe,,,
Dones,344,92.732,874.423
Homes,365,82.067,792.107
Població per edat (en %),,,
0-14,"17,1","12,1","12,3"
15-24,"9,3","9,2","9,4"
25-64,"61,5","55,5","57,2"
65 i mes,"12,1","23,2","21,1"
Població per lloc de naixement (en %),,,
Barcelona,"61,9","51,9","49,3"
Resta Catalunya,"4,9","6,1","7,2"
Resta Espanya,"12,3","19,1","15,7"
Estranger,"20,9","22,9","27,8"
Població per nacionalitat (en %),,,
Espanyols,"84,6","83,4","78,3"
Estrangers,"15,4","16,6","21,7"
Principals nacionalitats estrangeres,,,
"",Pakistan,Itàlia,Itàlia
"",20,2.687,39.863
"",Bangladesh,Hondures,Pakistan
"",14,2.065,22.749
"",Itàlia,Colòmbia,Xina
"",14,1.893,22.477
% Titulats superiors i CFGS (1),"29,3","26,4","33,4"
Taxa natalitat / 1.000 hab.,"14,6","7,3","7,7"
Població de més de 65 anys que viu sola (%) (2),"32,6","24,4","25,7"
Índex de sobreenvelliment  (3),"65,1","55,8","53,4"
Turismes (persones físiques) / 1.000 hab (4),"241,2","277,6","263,5"
Motos (persones físiques) / 1.000 hab (4),"124,1","128,3","119,8"
Ciclomotors (persones físiques) / 1.000 hab (4),"38,1","28,9","25,0"
Nombre d'aturats registrats (5),16,7.454,69.047
Renda familiar disponible per habitant (2017),"93,5","78,0","100,0"
Índex Barcelona=100,,,
