INDICADORS SOCIOECONÒMICS 2019,BARRI,DISTRICTE,BARCELONA
Població,25.501,241.691,1.666.530
Superfície (km2),"1,2","10,4","101,4"
Densitat (hab/km2),21.513,23.270,16.443
Població per sexe,,,
Dones,12.280,125.269,874.423
Homes,13.221,116.422,792.107
Població per edat (en %),,,
0-14,"14,4","13,1","12,3"
15-24,"10,7","9,1","9,4"
25-64,"58,5","57,4","57,2"
65 i mes,"16,4","20,4","21,1"
Població per lloc de naixement (en %),,,
Barcelona,"39,4","50,2","49,3"
Resta Catalunya,"4,6","6,8","7,2"
Resta Espanya,"15,7","17,3","15,7"
Estranger,"40,2","25,8","27,8"
Població per nacionalitat (en %),,,
Espanyols,"65,0","79,6","78,3"
Estrangers,"35,0","20,4","21,7"
Principals nacionalitats estrangeres,,,
"",Pakistan,Itàlia,Itàlia
"",2.678,5.674,39.863
"","Marroc, el",Xina,Pakistan
"",659,4.476,22.749
"",Xina,Pakistan,Xina
"",447,4.181,22.477
% Titulats superiors i CFGS (1),"12,8","28,4","33,4"
Taxa natalitat / 1.000 hab.,"9,6","7,7","7,7"
Població de més de 65 anys que viu sola (%) (2),"26,4","24,3","25,7"
Índex de sobreenvelliment  (3),"54,8","51,8","53,4"
Turismes (persones físiques) / 1.000 hab (4),"222,5","271,6","263,5"
Motos (persones físiques) / 1.000 hab (4),"54,0","97,1","119,8"
Ciclomotors (persones físiques) / 1.000 hab (4),"21,1","21,8","25,0"
Nombre d'aturats registrats (5),1.392,10.862,69.047
Renda familiar disponible per habitant (2017),"60,4","88,1","100,0"
Índex Barcelona=100,,,
