INDICADORS SOCIOECONÒMICS 2019,BARRI,DISTRICTE,BARCELONA
Població,6.869,174.012,1.666.530
Superfície (km2),"0,8","8,1","101,4"
Densitat (hab/km2),8.694,21.614,16.443
Població per sexe,,,
Dones,3.620,92.318,874.423
Homes,3.249,81.694,792.107
Població per edat (en %),,,
0-14,"10,8","13,1","12,3"
15-24,"8,8","9,8","9,4"
25-64,"51,4","54,7","57,2"
65 i mes,"28,9","22,3","21,1"
Població per lloc de naixement (en %),,,
Barcelona,"56,1","46,4","49,3"
Resta Catalunya,"4,8","4,8","7,2"
Resta Espanya,"28,8","20,9","15,7"
Estranger,"10,2","27,8","27,8"
Població per nacionalitat (en %),,,
Espanyols,"93,3","79,7","78,3"
Estrangers,"6,7","20,3","21,7"
Principals nacionalitats estrangeres,,,
"",Hondures,Hondures,Itàlia
"",55,5.548,39.863
"",Perú,Pakistan,Pakistan
"",36,2.517,22.749
"",Equador,"Marroc, el",Xina
"",27,2.123,22.477
% Titulats superiors i CFGS (1),"13,2","15,5","33,4"
Taxa natalitat / 1.000 hab.,"5,2","7,9","7,7"
Població de més de 65 anys que viu sola (%) (2),"21,3","25,7","25,7"
Índex de sobreenvelliment  (3),"45,8","56,5","53,4"
Turismes (persones físiques) / 1.000 hab (4),"381,3","259,4","263,5"
Motos (persones físiques) / 1.000 hab (4),"98,7","79,8","119,8"
Ciclomotors (persones físiques) / 1.000 hab (4),"29,3","22,7","25,0"
Nombre d'aturats registrats (5),418,9.297,69.047
Renda familiar disponible per habitant (2017),"52,2","55,0","100,0"
Índex Barcelona=100,,,
