INDICADORS SOCIOECONÒMICS 2019,BARRI,DISTRICTE,BARCELONA
Població,11.091,174.012,1.666.530
Superfície (km2),"0,4","8,1","101,4"
Densitat (hab/km2),29.444,21.614,16.443
Població per sexe,,,
Dones,5.675,92.318,874.423
Homes,5.416,81.694,792.107
Població per edat (en %),,,
0-14,"17,3","13,1","12,3"
15-24,"11,9","9,8","9,4"
25-64,"54,1","54,7","57,2"
65 i mes,"16,7","22,3","21,1"
Població per lloc de naixement (en %),,,
Barcelona,"35,3","46,4","49,3"
Resta Catalunya,"3,8","4,8","7,2"
Resta Espanya,"18,0","20,9","15,7"
Estranger,"42,9","27,8","27,8"
Població per nacionalitat (en %),,,
Espanyols,"67,2","79,7","78,3"
Estrangers,"32,8","20,3","21,7"
Principals nacionalitats estrangeres,,,
"",Hondures,Hondures,Itàlia
"",689,5.548,39.863
"",Pakistan,Pakistan,Pakistan
"",527,2.517,22.749
"","Marroc, el","Marroc, el",Xina
"",441,2.123,22.477
% Titulats superiors i CFGS (1),"7,4","15,5","33,4"
Taxa natalitat / 1.000 hab.,"13,4","7,9","7,7"
Població de més de 65 anys que viu sola (%) (2),"22,3","25,7","25,7"
Índex de sobreenvelliment  (3),"53,4","56,5","53,4"
Turismes (persones físiques) / 1.000 hab (4),"240,9","259,4","263,5"
Motos (persones físiques) / 1.000 hab (4),"42,3","79,8","119,8"
Ciclomotors (persones físiques) / 1.000 hab (4),"19,7","22,7","25,0"
Nombre d'aturats registrats (5),896,9.297,69.047
Renda familiar disponible per habitant (2017),"38,6","55,0","100,0"
Índex Barcelona=100,,,
