INDICADORS SOCIOECONÒMICS 2019,BARRI,DISTRICTE,BARCELONA
Població,14.726,151.976,1.666.530
Superfície (km2),"0,4","6,6","101,4"
Densitat (hab/km2),35.986,23.065,16.443
Població per sexe,,,
Dones,7.846,79.738,874.423
Homes,6.880,72.238,792.107
Població per edat (en %),,,
0-14,"12,4","13,2","12,3"
15-24,"9,2","9,1","9,4"
25-64,"57,0","56,0","57,2"
65 i mes,"21,5","21,7","21,1"
Població per lloc de naixement (en %),,,
Barcelona,"55,2","53,9","49,3"
Resta Catalunya,"6,7","6,9","7,2"
Resta Espanya,"14,6","17,7","15,7"
Estranger,"23,5","21,5","27,8"
Població per nacionalitat (en %),,,
Espanyols,"83,4","84,8","78,3"
Estrangers,"16,6","15,2","21,7"
Principals nacionalitats estrangeres,,,
"",Xina,Xina,Itàlia
"",261,2.129,39.863
"",Itàlia,Pakistan,Pakistan
"",226,1.710,22.749
"",Colòmbia,Itàlia,Xina
"",163,1.675,22.477
% Titulats superiors i CFGS (1),"27,7","24,4","33,4"
Taxa natalitat / 1.000 hab.,"8,0","7,8","7,7"
Població de més de 65 anys que viu sola (%) (2),"28,8","24,0","25,7"
Índex de sobreenvelliment  (3),"60,3","50,2","53,4"
Turismes (persones físiques) / 1.000 hab (4),"246,7","280,2","263,5"
Motos (persones físiques) / 1.000 hab (4),"92,6","93,8","119,8"
Ciclomotors (persones físiques) / 1.000 hab (4),"20,2","20,7","25,0"
Nombre d'aturats registrats (5),570,6.828,69.047
Renda familiar disponible per habitant (2017),"75,1","74,6","100,0"
Índex Barcelona=100,,,
