INDICADORS SOCIOECONÒMICS 2019,BARRI,DISTRICTE,BARCELONA
Població,15.420,174.012,1.666.530
Superfície (km2),"0,6","8,1","101,4"
Densitat (hab/km2),25.198,21.614,16.443
Població per sexe,,,
Dones,8.303,92.318,874.423
Homes,7.117,81.694,792.107
Població per edat (en %),,,
0-14,"12,1","13,1","12,3"
15-24,"9,1","9,8","9,4"
25-64,"50,5","54,7","57,2"
65 i mes,"28,2","22,3","21,1"
Població per lloc de naixement (en %),,,
Barcelona,"54,1","46,4","49,3"
Resta Catalunya,"5,7","4,8","7,2"
Resta Espanya,"24,3","20,9","15,7"
Estranger,"15,9","27,8","27,8"
Població per nacionalitat (en %),,,
Espanyols,"89,3","79,7","78,3"
Estrangers,"10,7","20,3","21,7"
Principals nacionalitats estrangeres,,,
"",Hondures,Hondures,Itàlia
"",226,5.548,39.863
"",Colòmbia,Pakistan,Pakistan
"",114,2.517,22.749
"",Perú,"Marroc, el",Xina
"",105,2.123,22.477
% Titulats superiors i CFGS (1),"19,0","15,5","33,4"
Taxa natalitat / 1.000 hab.,"6,8","7,9","7,7"
Població de més de 65 anys que viu sola (%) (2),"24,5","25,7","25,7"
Índex de sobreenvelliment  (3),"57,3","56,5","53,4"
Turismes (persones físiques) / 1.000 hab (4),"302,5","259,4","263,5"
Motos (persones físiques) / 1.000 hab (4),"92,6","79,8","119,8"
Ciclomotors (persones físiques) / 1.000 hab (4),"19,1","22,7","25,0"
Nombre d'aturats registrats (5),857,9.297,69.047
Renda familiar disponible per habitant (2017),"53,8","55,0","100,0"
Índex Barcelona=100,,,
