INDICADORS SOCIOECONÒMICS 2019,BARRI,DISTRICTE,BARCELONA
Població,1.227,187.584,1.666.530
Superfície (km2),"14,0","22,7","101,4"
Densitat (hab/km2),87,8.272,16.443
Població per sexe,,,
Dones,594,97.469,874.423
Homes,633,90.115,792.107
Població per edat (en %),,,
0-14,"12,2","11,4","12,3"
15-24,"8,6","9,1","9,4"
25-64,"61,1","59,6","57,2"
65 i mes,"18,1","19,9","21,1"
Població per lloc de naixement (en %),,,
Barcelona,"66,3","46,1","49,3"
Resta Catalunya,"5,9","7,1","7,2"
Resta Espanya,"9,7","15,9","15,7"
Estranger,"18,1","30,9","27,8"
Població per nacionalitat (en %),,,
Espanyols,"86,4","76,2","78,3"
Estrangers,"13,6","23,8","21,7"
Principals nacionalitats estrangeres,,,
"",Xina,Itàlia,Itàlia
"",39,4.524,39.863
"","Marroc, el",Pakistan,Pakistan
"",19,3.348,22.749
"",Perú,Xina,Xina
"",18,3.137,22.477
% Titulats superiors i CFGS (1),"7,8","28,2","33,4"
Taxa natalitat / 1.000 hab.,"10,9","8,0","7,7"
Població de més de 65 anys que viu sola (%) (2),"31,5","25,7","25,7"
Índex de sobreenvelliment  (3),"53,2","52,2","53,4"
Turismes (persones físiques) / 1.000 hab (4),"421,4","242,4","263,5"
Motos (persones físiques) / 1.000 hab (4),"129,6","102,1","119,8"
Ciclomotors (persones físiques) / 1.000 hab (4),"50,5","25,9","25,0"
Nombre d'aturats registrats (5),93,8.162,69.047
Renda familiar disponible per habitant (2017),"40,0","84,6","100,0"
Índex Barcelona=100,,,
