INDICADORS SOCIOECONÒMICS 2019,BARRI,DISTRICTE,BARCELONA
Població,11.936,82.635,1.666.530
Superfície (km2),"2,7","6,0","101,4"
Densitat (hab/km2),4.446,13.748,16.443
Població per sexe,,,
Dones,6.359,44.202,874.423
Homes,5.577,38.433,792.107
Població per edat (en %),,,
0-14,"15,2","12,5","12,3"
15-24,"12,0","9,1","9,4"
25-64,"48,0","52,2","57,2"
65 i mes,"24,8","26,2","21,1"
Població per lloc de naixement (en %),,,
Barcelona,"53,4","53,7","49,3"
Resta Catalunya,"9,8","10,6","7,2"
Resta Espanya,"13,1","16,1","15,7"
Estranger,"23,7","19,6","27,8"
Població per nacionalitat (en %),,,
Espanyols,"81,3","85,5","78,3"
Estrangers,"18,7","14,5","21,7"
Principals nacionalitats estrangeres,,,
"",França,Itàlia,Itàlia
"",390,1.211,39.863
"",Itàlia,Xina,Pakistan
"",227,920,22.749
"",Rússia,França,Xina
"",188,849,22.477
% Titulats superiors i CFGS (1),"52,6","44,7","33,4"
Taxa natalitat / 1.000 hab.,"6,0","7,0","7,7"
Població de més de 65 anys que viu sola (%) (2),"20,8","23,0","25,7"
Índex de sobreenvelliment  (3),"55,7","51,2","53,4"
Turismes (persones físiques) / 1.000 hab (4),"463,9","342,9","263,5"
Motos (persones físiques) / 1.000 hab (4),"228,8","157,5","119,8"
Ciclomotors (persones físiques) / 1.000 hab (4),"31,0","25,7","25,0"
Nombre d'aturats registrats (5),208,2.708,69.047
Renda familiar disponible per habitant (2017),"248,8","137,3","100,0"
Índex Barcelona=100,,,
