INDICADORS SOCIOECONÒMICS 2019,BARRI,DISTRICTE,BARCELONA
Població,13.652,151.976,1.666.530
Superfície (km2),"1,9","6,6","101,4"
Densitat (hab/km2),7.321,23.065,16.443
Població per sexe,,,
Dones,6.833,79.738,874.423
Homes,6.819,72.238,792.107
Població per edat (en %),,,
0-14,"16,6","13,2","12,3"
15-24,"10,6","9,1","9,4"
25-64,"56,5","56,0","57,2"
65 i mes,"16,3","21,7","21,1"
Població per lloc de naixement (en %),,,
Barcelona,"51,8","53,9","49,3"
Resta Catalunya,"7,2","6,9","7,2"
Resta Espanya,"14,2","17,7","15,7"
Estranger,"26,7","21,5","27,8"
Població per nacionalitat (en %),,,
Espanyols,"79,1","84,8","78,3"
Estrangers,"20,9","15,2","21,7"
Principals nacionalitats estrangeres,,,
"",Pakistan,Xina,Itàlia
"",427,2.129,39.863
"",Hondures,Pakistan,Pakistan
"",347,1.710,22.749
"","Marroc, el",Itàlia,Xina
"",218,1.675,22.477
% Titulats superiors i CFGS (1),"14,3","24,4","33,4"
Taxa natalitat / 1.000 hab.,"8,3","7,8","7,7"
Població de més de 65 anys que viu sola (%) (2),"22,7","24,0","25,7"
Índex de sobreenvelliment  (3),"52,7","50,2","53,4"
Turismes (persones físiques) / 1.000 hab (4),"263,0","280,2","263,5"
Motos (persones físiques) / 1.000 hab (4),"68,4","93,8","119,8"
Ciclomotors (persones físiques) / 1.000 hab (4),"18,2","20,7","25,0"
Nombre d'aturats registrats (5),647,6.828,69.047
Renda familiar disponible per habitant (2017),"65,1","74,6","100,0"
Índex Barcelona=100,,,
