INDICADORS SOCIOECONÒMICS 2019,BARRI,DISTRICTE,BARCELONA
Població,5.886,174.799,1.666.530
Superfície (km2),"0,7","11,9","101,4"
Densitat (hab/km2),7.906,14.665,16.443
Població per sexe,,,
Dones,3.140,92.732,874.423
Homes,2.746,82.067,792.107
Població per edat (en %),,,
0-14,"12,0","12,1","12,3"
15-24,"8,8","9,2","9,4"
25-64,"52,0","55,5","57,2"
65 i mes,"27,3","23,2","21,1"
Població per lloc de naixement (en %),,,
Barcelona,"52,9","51,9","49,3"
Resta Catalunya,"7,1","6,1","7,2"
Resta Espanya,"23,8","19,1","15,7"
Estranger,"16,2","22,9","27,8"
Població per nacionalitat (en %),,,
Espanyols,"89,6","83,4","78,3"
Estrangers,"10,4","16,6","21,7"
Principals nacionalitats estrangeres,,,
"",Veneçuela,Itàlia,Itàlia
"",59,2.687,39.863
"",Itàlia,Hondures,Pakistan
"",55,2.065,22.749
"",Colòmbia,Colòmbia,Xina
"",51,1.893,22.477
% Titulats superiors i CFGS (1),"31,1","26,4","33,4"
Taxa natalitat / 1.000 hab.,"7,4","7,3","7,7"
Població de més de 65 anys que viu sola (%) (2),"24,1","24,4","25,7"
Índex de sobreenvelliment  (3),"56,0","55,8","53,4"
Turismes (persones físiques) / 1.000 hab (4),"324,2","277,6","263,5"
Motos (persones físiques) / 1.000 hab (4),"100,2","128,3","119,8"
Ciclomotors (persones físiques) / 1.000 hab (4),"17,0","28,9","25,0"
Nombre d'aturats registrats (5),229,7.454,69.047
Renda familiar disponible per habitant (2017),"95,8","78,0","100,0"
Índex Barcelona=100,,,
