INDICADORS SOCIOECONÒMICS 2019,BARRI,DISTRICTE,BARCELONA
Població,34.432,241.691,1.666.530
Superfície (km2),"1,6","10,4","101,4"
Densitat (hab/km2),21.973,23.270,16.443
Població per sexe,,,
Dones,17.728,125.269,874.423
Homes,16.704,116.422,792.107
Població per edat (en %),,,
0-14,"15,2","13,1","12,3"
15-24,"8,7","9,1","9,4"
25-64,"59,8","57,4","57,2"
65 i mes,"16,3","20,4","21,1"
Població per lloc de naixement (en %),,,
Barcelona,"55,3","50,2","49,3"
Resta Catalunya,"7,1","6,8","7,2"
Resta Espanya,"12,3","17,3","15,7"
Estranger,"25,3","25,8","27,8"
Població per nacionalitat (en %),,,
Espanyols,"78,9","79,6","78,3"
Estrangers,"21,1","20,4","21,7"
Principals nacionalitats estrangeres,,,
"",Itàlia,Itàlia,Itàlia
"",1.318,5.674,39.863
"",França,Xina,Pakistan
"",571,4.476,22.749
"",Regne Unit,Pakistan,Xina
"",416,4.181,22.477
% Titulats superiors i CFGS (1),"36,2","28,4","33,4"
Taxa natalitat / 1.000 hab.,"8,2","7,7","7,7"
Població de més de 65 anys que viu sola (%) (2),"25,8","24,3","25,7"
Índex de sobreenvelliment  (3),"53,0","51,8","53,4"
Turismes (persones físiques) / 1.000 hab (4),"262,8","271,6","263,5"
Motos (persones físiques) / 1.000 hab (4),"103,3","97,1","119,8"
Ciclomotors (persones físiques) / 1.000 hab (4),"21,4","21,8","25,0"
Nombre d'aturats registrats (5),1.339,10.862,69.047
Renda familiar disponible per habitant (2017),"99,9","88,1","100,0"
Índex Barcelona=100,,,
