INDICADORS SOCIOECONÒMICS 2019,BARRI,DISTRICTE,BARCELONA
Població,44.325,270.694,1.666.530
Superfície (km2),"2,1","7,5","101,4"
Densitat (hab/km2),20.909,36.265,16.443
Població per sexe,,,
Dones,23.662,144.056,874.423
Homes,20.663,126.638,792.107
Població per edat (en %),,,
0-14,"11,3","10,5","12,3"
15-24,"9,5","8,8","9,4"
25-64,"57,9","58,8","57,2"
65 i mes,"21,3","21,9","21,1"
Població per lloc de naixement (en %),,,
Barcelona,"48,5","47,1","49,3"
Resta Catalunya,"8,8","8,4","7,2"
Resta Espanya,"12,0","13,9","15,7"
Estranger,"30,7","30,7","27,8"
Població per nacionalitat (en %),,,
Espanyols,"74,6","75,6","78,3"
Estrangers,"25,4","24,4","21,7"
Principals nacionalitats estrangeres,,,
"",Itàlia,Itàlia,Itàlia
"",1.832,9.559,39.863
"",França,Xina,Pakistan
"",1.169,6.119,22.749
"",Xina,França,Xina
"",672,4.258,22.477
% Titulats superiors i CFGS (1),"52,8","44,5","33,4"
Taxa natalitat / 1.000 hab.,"7,7","7,2","7,7"
Població de més de 65 anys que viu sola (%) (2),"27,1","27,4","25,7"
Índex de sobreenvelliment  (3),"54,0","53,5","53,4"
Turismes (persones físiques) / 1.000 hab (4),"255,1","245,4","263,5"
Motos (persones físiques) / 1.000 hab (4),"143,9","126,7","119,8"
Ciclomotors (persones físiques) / 1.000 hab (4),"24,5","24,2","25,0"
Nombre d'aturats registrats (5),1.255,9.326,69.047
Renda familiar disponible per habitant (2017),"175,9","122,4","100,0"
Índex Barcelona=100,,,
