INDICADORS SOCIOECONÒMICS 2019,BARRI,DISTRICTE,BARCELONA
Població,32.512,174.799,1.666.530
Superfície (km2),"0,9","11,9","101,4"
Densitat (hab/km2),34.588,14.665,16.443
Població per sexe,,,
Dones,17.051,92.732,874.423
Homes,15.461,82.067,792.107
Població per edat (en %),,,
0-14,"12,8","12,1","12,3"
15-24,"9,5","9,2","9,4"
25-64,"55,8","55,5","57,2"
65 i mes,"22,0","23,2","21,1"
Població per lloc de naixement (en %),,,
Barcelona,"46,2","51,9","49,3"
Resta Catalunya,"3,7","6,1","7,2"
Resta Espanya,"25,0","19,1","15,7"
Estranger,"25,1","22,9","27,8"
Població per nacionalitat (en %),,,
Espanyols,"81,4","83,4","78,3"
Estrangers,"18,6","16,6","21,7"
Principals nacionalitats estrangeres,,,
"",Hondures,Itàlia,Itàlia
"",509,2.687,39.863
"",Itàlia,Hondures,Pakistan
"",412,2.065,22.749
"",Bolívia,Colòmbia,Xina
"",382,1.893,22.477
% Titulats superiors i CFGS (1),"14,8","26,4","33,4"
Taxa natalitat / 1.000 hab.,"6,7","7,3","7,7"
Població de més de 65 anys que viu sola (%) (2),"23,7","24,4","25,7"
Índex de sobreenvelliment  (3),"53,2","55,8","53,4"
Turismes (persones físiques) / 1.000 hab (4),"262,5","277,6","263,5"
Motos (persones físiques) / 1.000 hab (4),"129,0","128,3","119,8"
Ciclomotors (persones físiques) / 1.000 hab (4),"36,2","28,9","25,0"
Nombre d'aturats registrats (5),1.586,7.454,69.047
Renda familiar disponible per habitant (2017),"54,2","78,0","100,0"
Índex Barcelona=100,,,
