INDICADORS SOCIOECONÒMICS 2019,BARRI,DISTRICTE,BARCELONA
Població,9.544,174.799,1.666.530
Superfície (km2),"0,7","11,9","101,4"
Densitat (hab/km2),14.522,14.665,16.443
Població per sexe,,,
Dones,5.023,92.732,874.423
Homes,4.521,82.067,792.107
Població per edat (en %),,,
0-14,"13,5","12,1","12,3"
15-24,"9,6","9,2","9,4"
25-64,"52,9","55,5","57,2"
65 i mes,"24,0","23,2","21,1"
Població per lloc de naixement (en %),,,
Barcelona,"64,3","51,9","49,3"
Resta Catalunya,"6,8","6,1","7,2"
Resta Espanya,"16,9","19,1","15,7"
Estranger,"12,0","22,9","27,8"
Població per nacionalitat (en %),,,
Espanyols,"91,4","83,4","78,3"
Estrangers,"8,6","16,6","21,7"
Principals nacionalitats estrangeres,,,
"",Itàlia,Itàlia,Itàlia
"",104,2.687,39.863
"",França,Hondures,Pakistan
"",60,2.065,22.749
"",Hondures,Colòmbia,Xina
"",54,1.893,22.477
% Titulats superiors i CFGS (1),"33,6","26,4","33,4"
Taxa natalitat / 1.000 hab.,"6,2","7,3","7,7"
Població de més de 65 anys que viu sola (%) (2),"20,1","24,4","25,7"
Índex de sobreenvelliment  (3),"49,3","55,8","53,4"
Turismes (persones físiques) / 1.000 hab (4),"353,9","277,6","263,5"
Motos (persones físiques) / 1.000 hab (4),"187,0","128,3","119,8"
Ciclomotors (persones físiques) / 1.000 hab (4),"30,2","28,9","25,0"
Nombre d'aturats registrats (5),464,7.454,69.047
Renda familiar disponible per habitant (2017),"92,5","78,0","100,0"
Índex Barcelona=100,,,
