INDICADORS SOCIOECONÒMICS 2019,BARRI,DISTRICTE,BARCELONA
Població,7.538,174.799,1.666.530
Superfície (km2),"1,7","11,9","101,4"
Densitat (hab/km2),4.484,14.665,16.443
Població per sexe,,,
Dones,3.992,92.732,874.423
Homes,3.546,82.067,792.107
Població per edat (en %),,,
0-14,"11,9","12,1","12,3"
15-24,"10,8","9,2","9,4"
25-64,"52,4","55,5","57,2"
65 i mes,"24,8","23,2","21,1"
Població per lloc de naixement (en %),,,
Barcelona,"46,0","51,9","49,3"
Resta Catalunya,"5,8","6,1","7,2"
Resta Espanya,"21,1","19,1","15,7"
Estranger,"27,1","22,9","27,8"
Població per nacionalitat (en %),,,
Espanyols,"81,0","83,4","78,3"
Estrangers,"19,0","16,6","21,7"
Principals nacionalitats estrangeres,,,
"",Perú,Itàlia,Itàlia
"",144,2.687,39.863
"",Hondures,Hondures,Pakistan
"",124,2.065,22.749
"",Veneçuela,Colòmbia,Xina
"",87,1.893,22.477
% Titulats superiors i CFGS (1),"21,3","26,4","33,4"
Taxa natalitat / 1.000 hab.,"8,8","7,3","7,7"
Població de més de 65 anys que viu sola (%) (2),"25,7","24,4","25,7"
Índex de sobreenvelliment  (3),"62,8","55,8","53,4"
Turismes (persones físiques) / 1.000 hab (4),"289,9","277,6","263,5"
Motos (persones físiques) / 1.000 hab (4),"108,3","128,3","119,8"
Ciclomotors (persones físiques) / 1.000 hab (4),"28,5","28,9","25,0"
Nombre d'aturats registrats (5),297,7.454,69.047
Renda familiar disponible per habitant (2017),"84,1","78,0","100,0"
Índex Barcelona=100,,,
