INDICADORS SOCIOECONÒMICS 2019,BARRI,DISTRICTE,BARCELONA
Població,35.483,123.651,1.666.530
Superfície (km2),"0,7","4,2","101,4"
Densitat (hab/km2),54.545,29.272,16.443
Població per sexe,,,
Dones,19.183,66.826,874.423
Homes,16.300,56.825,792.107
Població per edat (en %),,,
0-14,"11,3","11,8","12,3"
15-24,"8,2","8,4","9,4"
25-64,"56,9","58,3","57,2"
65 i mes,"23,6","21,5","21,1"
Població per lloc de naixement (en %),,,
Barcelona,"54,6","52,6","49,3"
Resta Catalunya,"9,1","8,7","7,2"
Resta Espanya,"13,7","13,8","15,7"
Estranger,"22,7","24,9","27,8"
Població per nacionalitat (en %),,,
Espanyols,"82,6","80,3","78,3"
Estrangers,"17,4","19,7","21,7"
Principals nacionalitats estrangeres,,,
"",Itàlia,Itàlia,Itàlia
"",943,4.065,39.863
"",França,França,Pakistan
"",433,1.904,22.749
"",Xina,Regne Unit,Xina
"",361,1.003,22.477
% Titulats superiors i CFGS (1),"42,7","43,9","33,4"
Taxa natalitat / 1.000 hab.,"7,7","8,0","7,7"
Població de més de 65 anys que viu sola (%) (2),"27,0","28,0","25,7"
Índex de sobreenvelliment  (3),"51,4","53,1","53,4"
Turismes (persones físiques) / 1.000 hab (4),"265,8","252,7","263,5"
Motos (persones físiques) / 1.000 hab (4),"135,7","143,5","119,8"
Ciclomotors (persones físiques) / 1.000 hab (4),"28,1","28,9","25,0"
Nombre d'aturats registrats (5),1.277,4.617,69.047
Renda familiar disponible per habitant (2017),"105,7","105,3","100,0"
Índex Barcelona=100,,,
