INDICADORS SOCIOECONÒMICS 2019,BARRI DISTRICTE,,BARCELONA
Població,25.242 151.157,,1.666.530
Superfície (km2),"3,0 19,9",,"101,4"
Densitat (hab/km2),8.283 7.590,,16.443
Població per sexe,,,
Dones,13.469 81.679,,874.423
Homes,11.773 69.478,,792.107
Població per edat (en %),,,
0-14,"17,3 15,4",,"12,3"
15-24,"11,5 11,6",,"9,4"
25-64,"49,5 51,5",,"57,2"
65 i mes,"21,6 21,5",,"21,1"
Població per lloc de naixement (en %),,,
Barcelona,"62,4 62,0",,"49,3"
Resta Catalunya,"9,0 8,7",,"7,2"
Resta Espanya,"9,7 10,2",,"15,7"
Estranger,"18,9 19,1",,"27,8"
Població per nacionalitat (en %),,,
Espanyols,"85,2 85,8",,"78,3"
Estrangers,"14,8 14,2",,"21,7"
Principals nacionalitats estrangeres,,,
"",França Itàlia,,Itàlia
"",709 2.947,,39.863
"",Itàlia França,,Pakistan
"",489 2.363,,22.749
"","Regne UEnisttats Units, els",,Xina
"",165 975,,22.477
% Titulats superiors i CFGS (1),"51,8 52,2",,"33,4"
Taxa natalitat / 1.000 hab.,"7,6 8,2",,"7,7"
Població de més de 65 anys que viu sola (%) (2),"21,3 25,0",,"25,7"
Índex de sobreenvelliment  (3),"57,2 55,2",,"53,4"
Turismes (persones físiques) / 1.000 hab (4),"343,8 343,8",,"263,5"
Motos (persones físiques) / 1.000 hab (4),"213,8 220,1",,"119,8"
Ciclomotors (persones físiques) / 1.000 hab (4),"26,3 28,6",,"25,0"
Nombre d'aturats registrats (5),459 3.480,,69.047
Renda familiar disponible per habitant (2017),"193,6 182,8",,"100,0"
Índex Barcelona=100,,,
