INDICADORS SOCIOECONÒMICS 2019,BARRI,DISTRICTE,BARCELONA
Població,23.241,108.331,1.666.530
Superfície (km2),"1,1","4,1","101,4"
Densitat (hab/km2),20.944,26.288,16.443
Població per sexe,,,
Dones,11.547,50.134,874.423
Homes,11.694,58.197,792.107
Població per edat (en %),,,
0-14,"9,2","10,1","12,3"
15-24,"10,4","10,6","9,4"
25-64,"66,8","67,0","57,2"
65 i mes,"13,6","12,3","21,1"
Població per lloc de naixement (en %),,,
Barcelona,"29,4","27,0","49,3"
Resta Catalunya,"5,1","4,3","7,2"
Resta Espanya,"12,1","10,0","15,7"
Estranger,"53,4","58,6","27,8"
Població per nacionalitat (en %),,,
Espanyols,"53,9","48,5","78,3"
Estrangers,"46,1","51,5","21,7"
Principals nacionalitats estrangeres,,,
"",Itàlia,Pakistan,Itàlia
"",1.814,7.607,39.863
"",França,Itàlia,Pakistan
"",802,6.339,22.749
"","Marroc, el",Filipines,Xina
"",788,4.719,22.477
% Titulats superiors i CFGS (1),"42,1","32,1","33,4"
Taxa natalitat / 1.000 hab.,"6,3","7,6","7,7"
Població de més de 65 anys que viu sola (%) (2),"33,6","32,2","25,7"
Índex de sobreenvelliment  (3),"53,2","52,6","53,4"
Turismes (persones físiques) / 1.000 hab (4),"146,8","126,5","263,5"
Motos (persones físiques) / 1.000 hab (4),"93,5","73,5","119,8"
Ciclomotors (persones físiques) / 1.000 hab (4),"28,1","26,0","25,0"
Nombre d'aturats registrats (5),1.346,6.290,69.047
Renda familiar disponible per habitant (2017),"99,4","84,3","100,0"
Índex Barcelona=100,,,
