INDICADORS SOCIOECONÒMICS 2019,BARRI,DISTRICTE,BARCELONA
Població,15.112,108.331,1.666.530
Superfície (km2),"1,1","4,1","101,4"
Densitat (hab/km2),13.795,26.288,16.443
Població per sexe,,,
Dones,7.613,50.134,874.423
Homes,7.499,58.197,792.107
Població per edat (en %),,,
0-14,"7,4","10,1","12,3"
15-24,"9,3","10,6","9,4"
25-64,"66,4","67,0","57,2"
65 i mes,"17,0","12,3","21,1"
Població per lloc de naixement (en %),,,
Barcelona,"37,5","27,0","49,3"
Resta Catalunya,"3,9","4,3","7,2"
Resta Espanya,"11,8","10,0","15,7"
Estranger,"46,8","58,6","27,8"
Població per nacionalitat (en %),,,
Espanyols,"59,5","48,5","78,3"
Estrangers,"40,5","51,5","21,7"
Principals nacionalitats estrangeres,,,
"",Itàlia,Pakistan,Itàlia
"",1.182,7.607,39.863
"",Pakistan,Itàlia,Pakistan
"",433,6.339,22.749
"","Marroc, el",Filipines,Xina
"",334,4.719,22.477
% Titulats superiors i CFGS (1),"30,6","32,1","33,4"
Taxa natalitat / 1.000 hab.,"5,7","7,6","7,7"
Població de més de 65 anys que viu sola (%) (2),"32,8","32,2","25,7"
Índex de sobreenvelliment  (3),"58,1","52,6","53,4"
Turismes (persones físiques) / 1.000 hab (4),"196,9","126,5","263,5"
Motos (persones físiques) / 1.000 hab (4),"105,3","73,5","119,8"
Ciclomotors (persones físiques) / 1.000 hab (4),"33,3","26,0","25,0"
Nombre d'aturats registrats (5),978,6.290,69.047
Renda familiar disponible per habitant (2017),"79,6","84,3","100,0"
Índex Barcelona=100,,,
