INDICADORS SOCIOECONÒMICS 2019,BARRI,DISTRICTE,BARCELONA
Població,28.878,241.691,1.666.530
Superfície (km2),"1,1","10,4","101,4"
Densitat (hab/km2),25.619,23.270,16.443
Població per sexe,,,
Dones,15.171,125.269,874.423
Homes,13.707,116.422,792.107
Població per edat (en %),,,
0-14,"11,8","13,1","12,3"
15-24,"9,1","9,1","9,4"
25-64,"52,8","57,4","57,2"
65 i mes,"26,4","20,4","21,1"
Població per lloc de naixement (en %),,,
Barcelona,"48,3","50,2","49,3"
Resta Catalunya,"6,2","6,8","7,2"
Resta Espanya,"25,3","17,3","15,7"
Estranger,"20,2","25,8","27,8"
Població per nacionalitat (en %),,,
Espanyols,"85,3","79,6","78,3"
Estrangers,"14,7","20,4","21,7"
Principals nacionalitats estrangeres,,,
"",Xina,Itàlia,Itàlia
"",755,5.674,39.863
"",Itàlia,Xina,Pakistan
"",265,4.476,22.749
"",Perú,Pakistan,Xina
"",227,4.181,22.477
% Titulats superiors i CFGS (1),"15,1","28,4","33,4"
Taxa natalitat / 1.000 hab.,"6,1","7,7","7,7"
Població de més de 65 anys que viu sola (%) (2),"21,8","24,3","25,7"
Índex de sobreenvelliment  (3),"55,1","51,8","53,4"
Turismes (persones físiques) / 1.000 hab (4),"301,3","271,6","263,5"
Motos (persones físiques) / 1.000 hab (4),"81,9","97,1","119,8"
Ciclomotors (persones físiques) / 1.000 hab (4),"24,4","21,8","25,0"
Nombre d'aturats registrats (5),1.461,10.862,69.047
Renda familiar disponible per habitant (2017),"57,0","88,1","100,0"
Índex Barcelona=100,,,
